orphan_post_id,orphan_title,orphan_cluster,linking_post_id,linking_post_title,link_added,status
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-indestructible-dog-toys-uk/,INSERTED
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,https://pethubonline.com/best-puppy-beds-uk/,INSERTED
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,https://pethubonline.com/best-puppy-beds-uk/,INSERTED
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,https://pethubonline.com/best-puppy-beds-uk/,INSERTED
4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,Dog Beds,4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,https://pethubonline.com/best-puppy-beds-uk/,INSERTED
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,4125,Best Dog Training Treats UK (2026) – Reward Guide,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,https://pethubonline.com/best-dog-collars-and-harnesses-uk/,INSERTED
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,INSERTED
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,4125,Best Dog Training Treats UK (2026) – Reward Guide,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,INSERTED
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,INSERTED
4034,Best No-Pull Dog Harnesses UK (2026) – Training &#038; Comfort Guide,Dog Harnesses,4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,https://pethubonline.com/best-no-pull-dog-harnesses-uk/,INSERTED
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,https://pethubonline.com/best-dog-leads-uk/,INSERTED
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,4125,Best Dog Training Treats UK (2026) – Reward Guide,https://pethubonline.com/best-dog-leads-uk/,INSERTED
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,https://pethubonline.com/best-dog-leads-uk/,INSERTED
4042,Best Dog Leads UK (2026) – Walking &#038; Training Lead Guide,Dog Harnesses,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,https://pethubonline.com/best-dog-leads-uk/,INSERTED
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Pet Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,https://pethubonline.com/best-puppy-collars-uk/,INSERTED
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Pet Care,3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,https://pethubonline.com/best-puppy-collars-uk/,INSERTED
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Pet Care,4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,https://pethubonline.com/best-puppy-collars-uk/,INSERTED
4049,Best Puppy Collars UK (2026) – First Collar &#038; Harness Guide,Pet Care,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,https://pethubonline.com/best-puppy-collars-uk/,INSERTED
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-dog-grooming-supplies-uk/,INSERTED
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-dog-grooming-supplies-uk/,INSERTED
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,https://pethubonline.com/best-dog-grooming-supplies-uk/,INSERTED
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,https://pethubonline.com/best-dog-grooming-supplies-uk/,INSERTED
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-dog-brushes-uk/,INSERTED
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-dog-brushes-uk/,INSERTED
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,https://pethubonline.com/best-dog-brushes-uk/,INSERTED
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,https://pethubonline.com/best-dog-brushes-uk/,INSERTED
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-dog-shampoo-uk/,INSERTED
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,4251,Best Cat Shampoo UK (2026) – When &#038; How to Bathe,https://pethubonline.com/best-dog-shampoo-uk/,INSERTED
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,https://pethubonline.com/best-dog-shampoo-uk/,INSERTED
4071,Best Dog Shampoo UK (2026) – Ingredients &#038; Safety Guide,Dog Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,https://pethubonline.com/best-dog-shampoo-uk/,INSERTED
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,https://pethubonline.com/best-dog-nail-clippers-uk/,INSERTED
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-dog-nail-clippers-uk/,INSERTED
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,https://pethubonline.com/best-dog-nail-clippers-uk/,INSERTED
4078,Best Dog Nail Clippers UK (2026) – Trimming &#038; Grinding Guide,Dog Care,4018,Best Puppy Beds UK (2026) – First Bed &#038; Crate Training Guide,https://pethubonline.com/best-dog-nail-clippers-uk/,INSERTED
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-dog-health-care-uk/,INSERTED
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,https://pethubonline.com/best-dog-health-care-uk/,INSERTED
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-dog-health-care-uk/,INSERTED
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,https://pethubonline.com/best-dog-health-care-uk/,INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,https://pethubonline.com/best-dog-dental-care-uk/,INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,4237,Best Cat Brushes UK (2026) – Guide by Coat Type,https://pethubonline.com/best-dog-dental-care-uk/,INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,3836,Best Dog Food UK (2026) &#8211; Complete Buying Guide,https://pethubonline.com/best-dog-dental-care-uk/,INSERTED
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,https://pethubonline.com/best-dog-dental-care-uk/,INSERTED
