post_id,title,cluster,term,definition_text,insertion_location,priority
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",After first mention,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,After first mention,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",After first mention,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",In glossary block at end of post,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,enrichment,"Enrichment -- activities and objects that stimulate a pet's mind and body, preventing boredom and behavioural problems.",After first mention,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,After first mention,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",After first mention,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",In glossary block at end of post,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",After first mention,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",After first mention,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",After first mention,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,enrichment,"Enrichment -- activities and objects that stimulate a pet's mind and body, preventing boredom and behavioural problems.",After first mention,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",After first mention,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,RSPCA,"RSPCA -- the Royal Society for the Prevention of Cruelty to Animals, the UK's leading animal welfare charity.",After first mention,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,BVA,"BVA -- the British Veterinary Association, the national body representing veterinary professionals in the UK.",In glossary block at end of post,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,positive reinforcement,"Positive reinforcement -- rewarding desired behaviour (with treats, praise, or play) so the dog is more likely to repeat it.",In glossary block at end of post,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,body condition score,"Body condition score (BCS) -- a 1-to-9 scale vets use to judge whether a pet is underweight, ideal, or overweight by feeling ribs and waist.",In glossary block at end of post,medium
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,microchip,"Microchip -- a tiny electronic chip implanted under the skin that stores a unique ID, helping reunite lost pets with owners.",In glossary block at end of post,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,desensitisation,"Desensitisation -- gradually exposing a dog to a trigger (sound, object, situation) at low intensity so it learns to stay calm.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,resource guarding,"Resource guarding -- when a dog becomes protective or aggressive over food, toys, or other valued items.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,puzzle feeder,"Puzzle feeder -- a toy that hides treats inside compartments, making the dog work to get the food out.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,interactive toy,"Interactive toy -- a toy designed for play between pet and owner, or one that responds to the pet's actions.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,tug toy,Tug toy -- a rope or fabric toy built for two-way pulling games between dog and handler.,In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,flirt pole,"Flirt pole -- a long stick with a lure on a string at the end, used for chase-and-catch exercise.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,snuffle mat,"Snuffle mat -- a fabric mat with deep loops where treats are hidden, encouraging dogs to sniff and forage.",After first mention,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,dental chew,Dental chew -- a hard treat or toy designed to scrape plaque from teeth during chewing.,In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,lick mat,Lick mat -- a textured silicone mat you spread soft food onto; the repetitive licking soothes anxious dogs.,After first mention,medium
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,denier,"Denier -- a measure of fabric thickness and durability; higher denier means tougher, more tear-resistant material.",In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,stuffable toy,Stuffable toy -- a hollow rubber or silicone toy you can fill with treats or paste to keep a dog occupied.,In glossary block at end of post,high
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,nylon chew,"Nylon chew -- a hard synthetic chew toy that lasts longer than natural materials, suitable for aggressive chewers.",In glossary block at end of post,high
