cluster,dimension,dog_toys_score,cluster_score,gap,replication_action,target_posts,priority
Dog Supplies,Reference Support,55.5,2.9,52.6,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 7 posts in Dog Supplies,7,P1-Critical
Dog Supplies,Authority Balance,75.3,50.0,25.3,Improve internal linking (both inbound and outbound) across 7 posts in Dog Supplies,7,P2-High
Dog Supplies,FAQ Density,62.0,41.4,20.6,Add FAQ sections with question-headings and structured Q&A to 7 posts in Dog Supplies,7,P2-High
Dog Supplies,Citation Confidence,19.5,3.4,16.1,"Add external citations, named sources, and data points to 7 posts in Dog Supplies",7,P2-High
Cat Supplies,Reference Support,55.5,4.5,51.0,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 24 posts in Cat Supplies,24,P1-Critical
Cat Supplies,Authority Balance,75.3,52.5,22.8,Improve internal linking (both inbound and outbound) across 24 posts in Cat Supplies,24,P2-High
Cat Supplies,FAQ Density,62.0,42.9,19.1,Add FAQ sections with question-headings and structured Q&A to 24 posts in Cat Supplies,24,P2-High
Cat Supplies,Citation Confidence,19.5,8.1,11.4,"Add external citations, named sources, and data points to 24 posts in Cat Supplies",24,P3-Medium
Dog Health,Reference Support,55.5,13.6,41.9,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 5 posts in Dog Health,5,P1-Critical
Dog Health,FAQ Density,62.0,42.6,19.4,Add FAQ sections with question-headings and structured Q&A to 5 posts in Dog Health,5,P2-High
Dog Health,Authority Balance,75.3,56.0,19.3,Improve internal linking (both inbound and outbound) across 5 posts in Dog Health,5,P2-High
Dog Health,Comparison Density,14.7,8.0,6.7,Add comparison tables and vs-style content sections to 5 posts in Dog Health,5,P3-Medium
Puppy Care,Reference Support,55.5,20.5,35.0,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 6 posts in Puppy Care,6,P1-Critical
Puppy Care,Authority Balance,75.3,56.7,18.6,Improve internal linking (both inbound and outbound) across 6 posts in Puppy Care,6,P2-High
Puppy Care,FAQ Density,62.0,53.3,8.7,Add FAQ sections with question-headings and structured Q&A to 6 posts in Puppy Care,6,P3-Medium
Puppy Care,Comparison Density,14.7,8.3,6.4,Add comparison tables and vs-style content sections to 6 posts in Puppy Care,6,P3-Medium
Dog Harnesses,Reference Support,55.5,1.3,54.2,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 9 posts in Dog Harnesses,9,P1-Critical
Dog Harnesses,Authority Balance,75.3,50.0,25.3,Improve internal linking (both inbound and outbound) across 9 posts in Dog Harnesses,9,P2-High
Dog Harnesses,FAQ Density,62.0,44.4,17.6,Add FAQ sections with question-headings and structured Q&A to 9 posts in Dog Harnesses,9,P2-High
Dog Harnesses,Citation Confidence,19.5,5.4,14.1,"Add external citations, named sources, and data points to 9 posts in Dog Harnesses",9,P3-Medium
Dog Beds,Reference Support,55.5,10.3,45.2,Add RSPCA/BVA/PDSA/gov.uk/Battersea/Blue Cross/FEDIAF citations to 7 posts in Dog Beds,7,P1-Critical
