post_id,title,cluster,Troubleshooting Quality,Measurable Guidance,Safety Pathways,Beginner Walkthroughs,Routines,Practical Schedules,What to Do Next,When to Seek Help,How to Evaluate,What to Avoid,overall_decision_support,decision_support_tier
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Care,0,32,23,13,28,40,0,9,7,14,16.6,D: Minimal Decision Support
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Care,6,32,41,20,9,20,0,0,15,21,16.4,D: Minimal Decision Support
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Care,0,54,23,6,9,50,9,9,15,14,18.9,D: Minimal Decision Support
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Care,13,43,35,20,18,10,9,0,15,28,19.1,D: Minimal Decision Support
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Pet Health,6,32,47,27,18,50,9,18,7,21,23.5,D: Minimal Decision Support
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Pet Products & Gear,20,32,23,13,65,30,0,9,15,7,21.4,D: Minimal Decision Support
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Care,0,32,17,20,28,20,9,18,15,21,18.0,D: Minimal Decision Support
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Care,20,54,29,34,46,50,9,28,22,21,31.3,C: Weak Decision Support
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Care,13,0,23,13,0,20,0,9,7,14,9.9,D: Minimal Decision Support
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Care,13,32,17,13,37,10,9,9,30,14,18.4,D: Minimal Decision Support
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Pet Products & Gear,6,0,5,6,37,20,0,0,30,14,11.8,D: Minimal Decision Support
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Pet Products & Gear,13,0,29,13,18,10,0,9,30,21,14.3,D: Minimal Decision Support
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Dog Care,20,0,11,27,37,40,9,9,15,14,18.2,D: Minimal Decision Support
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Dog Care,20,0,11,13,65,50,0,0,22,21,20.2,D: Minimal Decision Support
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Pet Products & Gear,13,0,5,34,37,20,18,9,30,14,18.0,D: Minimal Decision Support
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Pet Products & Gear,26,32,35,13,18,50,0,9,15,21,21.9,D: Minimal Decision Support
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Dog Care,13,32,41,6,9,50,0,28,7,28,21.4,D: Minimal Decision Support
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Dog Care,6,32,23,41,37,30,9,9,22,14,22.3,D: Minimal Decision Support
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Dog Care,26,32,5,20,18,20,0,18,15,28,18.2,D: Minimal Decision Support
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Pet Products & Gear,6,43,17,13,18,30,0,0,30,21,17.8,D: Minimal Decision Support
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Care,20,10,41,54,37,40,28,18,53,36,33.7,C: Weak Decision Support
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Pet Health,20,10,53,34,65,60,9,28,45,36,36.0,C: Weak Decision Support
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Health,26,10,35,13,56,30,0,28,30,14,24.2,D: Minimal Decision Support
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Pet Health,13,32,65,13,65,90,0,56,53,28,41.5,C: Weak Decision Support
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Cat Care,33,32,41,34,56,60,9,18,30,36,34.9,C: Weak Decision Support
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Dog Care,26,10,35,13,18,50,0,0,61,21,23.4,D: Minimal Decision Support
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Cat Care,33,10,23,54,65,50,9,0,22,21,28.7,D: Minimal Decision Support
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Care,26,65,17,27,28,80,18,0,38,14,31.3,C: Weak Decision Support
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Products & Gear,13,21,88,20,56,70,0,18,38,36,36.0,C: Weak Decision Support
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Dog Care,26,43,29,20,56,90,9,28,45,14,36.0,C: Weak Decision Support
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Pet Products & Gear,20,32,41,27,56,40,9,9,45,21,30.0,C: Weak Decision Support
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Care,33,0,11,54,65,50,18,0,15,14,26.0,D: Minimal Decision Support
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Dog Care,26,21,17,20,46,70,0,37,30,14,28.1,D: Minimal Decision Support
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Dog Care,20,21,23,27,65,80,0,28,22,36,32.2,C: Weak Decision Support
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Pet Products & Gear,26,32,17,20,84,70,0,18,22,28,31.7,C: Weak Decision Support
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Nutrition,0,54,23,34,46,90,0,18,30,14,30.9,C: Weak Decision Support
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Grooming,13,54,29,20,56,40,0,28,7,43,29.0,D: Minimal Decision Support
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Care,13,21,29,13,28,30,9,0,22,21,18.6,D: Minimal Decision Support
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Pet Nutrition,0,21,5,6,37,100,0,0,30,7,20.6,D: Minimal Decision Support
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Small Pets,26,54,23,20,65,20,0,18,15,21,26.2,D: Minimal Decision Support
5425,Dog Toys FAQ: Common Questions Answered,Pet Products & Gear,26,10,47,20,28,50,18,9,22,36,26.6,D: Minimal Decision Support
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Pet Products & Gear,33,21,35,6,56,20,0,18,30,21,24.0,D: Minimal Decision Support
