post_id,title,cluster,existing_tables,existing_vs_sections,existing_pro_con,comparison_score,needs_comparison
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,toys,2,0,0,50.0,NO
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,toys,2,1,0,55.0,NO
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,toys,2,0,0,50.0,NO
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,toys,2,0,0,50.0,NO
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,toys,2,0,0,50.0,NO
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,toys,2,0,0,50.0,NO
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,toys,2,0,0,50.0,NO
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,toys,2,0,0,50.0,NO
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,toys,2,0,0,50.0,NO
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,toys,2,0,0,50.0,NO
5950,Dog Toy Durability Guide: What Lasts and What Does Not,toys,0,0,0,5,YES
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",toys,0,0,0,5,YES
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,toys,0,1,0,5.0,YES
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,toys,0,0,0,5,YES
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,toys,0,0,0,5,YES
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,toys,0,0,0,3,YES
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",toys,0,0,0,3,YES
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,general_pet_care,0,1,0,5.0,YES
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,toys,0,0,0,3,YES
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,toys,0,0,0,3,YES
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",training,2,2,0,60.0,NO
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",health_and_wellness,0,2,0,10.0,YES
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,health_and_wellness,0,2,0,10.0,YES
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",health_and_wellness,0,0,0,5,YES
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,cat_specific,0,1,0,5.0,YES
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,toys,0,1,0,5.0,YES
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",general_pet_care,0,0,0,5,YES
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,beds_and_furniture,2,0,0,50.0,NO
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",toys,2,3,0,65.0,NO
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,general_pet_care,0,1,0,5.0,YES
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,toys,0,0,0,5,YES
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",toys,2,2,0,60.0,NO
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,toys,0,0,0,5,YES
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",toys,0,1,0,5.0,YES
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,toys,2,1,0,55.0,NO
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",food_and_nutrition,2,1,0,55.0,NO
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,grooming,0,2,0,10.0,YES
5462,Dog Training Terminology Explained: Key Concepts for New Owners,training,0,0,0,5,YES
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,food_and_nutrition,0,3,0,15.0,YES
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat_specific,2,1,0,55.0,NO
5425,Dog Toys FAQ: Common Questions Answered,toys,0,0,0,5,YES
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,toys,0,0,0,5,YES
5423,Dog Toy Enrichment: Beyond Basic Fetch,toys,0,2,0,10.0,YES
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,toys,1,1,0,30.0,NO
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,toys,0,1,0,5.0,YES
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,toys,1,0,0,25.0,YES
5419,Cat Care Basics: A Glossary for New Cat Owners,cat_specific,0,0,0,5,YES
5418,Dog Harness Types Explained: Finding the Right Fit,collars_leashes_harnesses,2,0,0,50.0,NO
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,general_pet_care,0,0,0,5,YES
5416,Dog Bed Types Explained: A Complete Glossary,beds_and_furniture,2,1,0,55.0,NO
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,toys,0,0,0,5,YES
