post_id,title,cluster,source_backed_guidance,editorial_transparency,methodology_depth,correction_visibility,ai_transparency,external_references,practical_trust_signals,educational_trust,overall_trust_depth,previous_trust_intensity_estimate
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,dog_food,5.0,12.0,6.0,7.0,0.0,9.0,7.5,3.6,50.1,34.9
3836,Best Dog Food UK (2026) - Complete Buying Guide,dog_food,5.0,9.0,0.0,7.0,0.0,9.0,7.5,7.2,44.7,31.2
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,dog_food,2.5,9.0,0.0,7.0,0.0,9.0,2.5,5.4,35.4,22.4
4272,Best Cat ID Tags UK (2026) – Identification Guide,cat_food,5.0,6.0,0.0,7.0,0.0,9.0,5.0,1.8,33.8,22.8
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",puppy,12.5,6.0,0.0,0.0,0.0,5.0,2.5,7.2,33.2,28.2
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,training,5.0,6.0,0.0,0.0,0.0,12.0,2.5,7.2,32.7,27.8
4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat_food,2.5,6.0,0.0,7.0,0.0,9.0,5.0,1.8,31.3,19.8
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,dog_food,0.0,9.0,0.0,7.0,0.0,9.0,2.5,3.6,31.1,18.8
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,cat_food,0.0,6.0,0.0,7.0,0.0,9.0,5.0,3.6,30.6,18.4
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,puppy,2.5,6.0,0.0,7.0,0.0,9.0,2.5,3.6,30.6,19.2
4568,Dog Dental Health: A Practical Care Guide,dog_food,5.0,6.0,0.0,7.0,0.0,7.0,5.0,0.0,30.0,25.5
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,training,2.5,6.0,0.0,7.0,0.0,8.0,2.5,3.6,29.6,25.2
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,dog_dental,2.5,6.0,0.0,7.0,0.0,9.0,5.0,0.0,29.5,17.4
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,cat,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,16.8
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,cat_food,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,16.8
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,cat_food,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,16.8
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,training,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,17.7
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,puppy,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,17.7
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,puppy,2.5,6.0,0.0,7.0,0.0,9.0,2.5,1.8,28.8,16.8
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,training,0.0,6.0,0.0,7.0,0.0,9.0,5.0,1.8,28.8,17.7
4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat,0.0,6.0,0.0,7.0,0.0,9.0,2.5,3.6,28.1,16.2
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,cat_food,0.0,6.0,0.0,7.0,0.0,9.0,2.5,3.6,28.1,16.2
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat_food,0.0,6.0,0.0,7.0,0.0,9.0,2.5,3.6,28.1,16.2
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,dog_joint,0.0,6.0,0.0,7.0,0.0,9.0,2.5,3.6,28.1,17.1
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,dog_joint,0.0,6.0,0.0,7.0,0.0,9.0,2.5,3.6,28.1,16.2
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",puppy,5.0,6.0,0.0,0.0,0.0,12.5,2.5,1.8,27.8,23.6
4787,Dog Toy Safety: What Every Owner Needs to Know,training,2.5,6.0,0.0,7.0,0.0,9.0,2.5,0.0,27.0,15.3
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,cat_food,2.5,6.0,0.0,7.0,0.0,9.0,2.5,0.0,27.0,15.3
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,puppy,2.5,6.0,0.0,7.0,0.0,9.0,2.5,0.0,27.0,15.3
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat,0.0,6.0,0.0,7.0,0.0,9.0,2.5,1.8,26.3,14.7
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,cat_food,0.0,6.0,0.0,7.0,0.0,9.0,2.5,1.8,26.3,14.7
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat_food,0.0,6.0,0.0,7.0,0.0,9.0,2.5,1.8,26.3,14.7
