cluster,post_count,avg_citation_confidence,posts_above_70,posts_above_85,strongest_citation_pages,weakest_dimension
Dog Toys,34,35.8,0,0,"Dog Toy Rotation: How to Keep Your Dog Interested  (48); Best Dog Toys UK (2026) – Complete Guide & Honest  (48); Mental Stimulation Toys for Dogs: Puzzles, Games,  (45)",Comparison Usefulness (avg 12.7)
Dog Food,4,53.8,0,0,Best Dog Food UK (2026) – Complete Buying Guide (57); Best Puppy Food UK (2026) – Growth-Stage Nutrition (54); Best Dry Dog Food UK (2026) – Evidence-Based Guide (54),Reference Quality (avg 6.2)
Dog Beds,7,40.3,0,0,Best Dog Beds UK (2026) – Complete Guide & Honest  (43); Dog Bed Sizing Guide: How to Measure Your Dog and  (41); Best Orthopaedic Dog Beds UK (2026) – Joint Suppor (41),Reference Quality (avg 4.7)
Dog Harnesses,9,36.8,0,0,Best Dog Collars and Harnesses UK (2026) – Complet (41); Best Puppy Collars UK (2026) – First Collar & Harn (39); Dog Harness Types Explained: Finding the Right Fit (38),Reference Quality (avg 1.2)
Dog Health,5,38.6,0,0,"Dog Health Basics: Common Conditions, Prevention,  (46); Best Dog Flea Treatment UK (2026) – Prevention Gui (38); Best Dog Health and Care UK (2026) – Complete Guid (37)",Comparison Usefulness (avg 2.0)
Dog Care,7,35.1,0,0,Pet Grooming Glossary: Understanding Grooming Term (44); Best Dog Grooming Supplies UK (2026) – Complete Gu (39); Best Cat Grooming Supplies UK (2026) – Complete Gu (36),Reference Quality (avg 8.6)
Cat Toys,14,31.4,0,0,Best Cat Toys for Indoor Cats UK (2026) – Enrichme (38); Best Cat Toys UK (2026) – Complete Guide (38); Best Interactive Cat Toys UK (2026) – Wand & Puzzl (34),Reference Quality (avg 0.0)
Cat Supplies,24,36.1,0,0,Indoor Cat Care: A Complete Guide to Keeping House (42); Cat Scratching Behaviour Explained: Why Cats Scrat (42); Best Cat Harnesses UK (2026) – Safe Walking Guide (39),Reference Quality (avg 2.4)
Puppy Care,6,38.3,0,0,Puppy Development Stages: A Complete Guide from Bi (43); Best Puppy Toys UK (2026) – Teething & First Toys  (42); Best Puppy Beds UK (2026) – First Bed & Crate Trai (39),Comparison Usefulness (avg 0.8)
Dog Supplies,6,37.3,0,0,Best Elevated Dog Bowls UK (2026) – Raised Feeder  (43); Best Dog Bowls and Feeding UK (2026) – Complete Gu (41); Best Slow Feeder Dog Bowls UK (2026) – Prevent Spe (38),Comparison Usefulness (avg 0.0)
Pet Care General,9,37.8,0,0,"Pet Health Terminology: A Guide to Common Veterina (49); Pet Toy Safety: Understanding Materials, Hazards,  (47); Pet Feeding Guide: Understanding Portions, Schedul (46)",Practical Specificity (avg 10.7)
Educational,5,40.8,0,0,"Dog Training Equipment Explained: Tools, Uses, and (48); Dog Behaviour Explained: Understanding Your Dog’s  (44); Dog Training Terminology Explained: Key Concepts f (42)",Comparison Usefulness (avg 15.4)
Unclassified,14,36.6,0,0,"Orthopaedic Care for Dogs: Joint Health, Mobility, (47); Best Dog Water Bottles UK (2026) – Travel Hydratio (43); Confidence-Building Play: Helping Shy and Fearful  (38)",Comparison Usefulness (avg 9.6)
