post_id,title,cluster,rspca_status,battersea_status,cats_protection_status,blue_cross_status,pdsa_status,bva_status,fediaf_status,defra_status,uk_gov_status,kennel_club_status,pfma_status,total_linked,total_mentioned,total_missing,reference_score
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Dog Training,linked,absent,absent,linked,linked,mentioned,absent,absent,absent,absent,absent,3,1,7,40
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Dog Toys,linked,linked,absent,linked,absent,mentioned,absent,absent,absent,absent,absent,3,1,7,40
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Dog Toys,linked,absent,absent,linked,linked,mentioned,absent,absent,absent,absent,absent,3,1,7,40
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Dog Toys,linked,linked,absent,linked,absent,absent,absent,absent,absent,absent,absent,3,0,8,34
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Dog Toys,linked,absent,absent,linked,linked,mentioned,absent,absent,absent,absent,absent,3,1,7,40
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Dog Toys,linked,linked,absent,linked,absent,absent,absent,absent,absent,absent,absent,3,0,8,34
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Dog Toys,linked,linked,absent,linked,absent,mentioned,absent,absent,absent,absent,absent,3,1,7,40
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Dog Toys,linked,absent,absent,linked,linked,absent,absent,absent,absent,absent,absent,3,0,8,34
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,linked,absent,absent,linked,linked,absent,absent,absent,absent,absent,absent,3,0,8,34
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Dog Toys,linked,linked,absent,linked,absent,mentioned,absent,absent,absent,absent,absent,3,1,7,40
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Dog Toys,linked,linked,absent,linked,absent,absent,absent,absent,absent,absent,absent,3,0,8,34
