post_id,title,cluster,methodology_visibility,editorial_transparency,disclosure_visibility,ai_transparency,correction_visibility,reference_support,educational_clarity,trust_block_density,overall_trust_intensity
3956,Best Dog Toys UK (2026) – Complete Guide &#038; Honest Reviews,Dog Toys,15,48,99,20,45,35,40,65,45.9
3959,Best Interactive Dog Toys UK (2026) – Puzzle &#038; Enrichment Guide,Dog Toys,15,36,99,20,45,20,32,55,40.2
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,15,48,99,20,45,0,24,65,39.5
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Educational,15,36,99,20,45,20,24,55,39.2
3996,Best Dog Beds UK (2026) – Complete Guide &#038; Honest Reviews,Educational,15,36,99,20,45,20,24,55,39.2
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,15,36,99,20,45,0,40,55,38.8
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Educational,15,48,99,20,45,0,16,65,38.5
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,15,48,99,20,45,0,16,65,38.5
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,15,36,99,20,45,0,32,55,37.8
4089,Best Dog Health and Care UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,32,55,37.8
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,15,36,99,20,45,0,32,55,37.8
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,15,36,99,20,45,0,32,55,37.8
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Educational,15,36,99,20,45,0,24,55,36.8
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,15,36,99,20,45,0,24,55,36.8
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Educational,15,36,99,20,45,0,24,55,36.8
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,15,36,99,20,45,0,24,55,36.8
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,15,36,99,20,45,0,24,55,36.8
4293,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,Cat Supplies,15,36,99,20,45,0,24,55,36.8
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Educational,15,36,99,20,45,0,24,55,36.8
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Educational,15,36,99,20,45,0,24,55,36.8
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Educational,15,36,99,20,45,0,24,55,36.8
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,15,36,99,20,45,0,24,55,36.8
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Educational,15,36,99,20,45,0,24,55,36.8
4202,Best Cat Beds UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,15,36,99,20,45,0,24,55,36.8
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,15,36,99,20,45,0,24,55,36.8
4181,Best Interactive Cat Toys UK (2026) – Wand &#038; Puzzle Guide,Cat Toys,15,36,99,20,45,0,24,55,36.8
4174,Best Cat Toys UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,15,36,99,20,45,0,24,55,36.8
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4139,Best Dog Training Leads UK (2026) – Long Lines &#038; Harnesses,Educational,15,36,99,20,45,0,24,55,36.8
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Puppy Care,15,36,99,20,45,0,24,55,36.8
4125,Best Dog Training Treats UK (2026) – Reward Guide,Educational,15,36,99,20,45,0,24,55,36.8
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Educational,15,36,99,20,45,0,24,55,36.8
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Educational,15,36,99,20,45,0,24,55,36.8
