post_id,title,cluster,current_confidence,weakest_dimension,improvement_action,estimated_gain,priority
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Toys,23,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
5033,How to Choose the Right Cat Toy for Your Cat’s Personality,Cat Toys,24,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,25,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+7.0,P1-Critical
6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Dog Toys,26,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+6.5,P1-Critical
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care General,28,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,28,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+7.0,P1-Critical
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,29,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
4791,How to Choose the Right Dog Training Treats,Dog Supplies,29,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,29,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+7.0,P1-Critical
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,30,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care General,30,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
4571,Pet First Aid Basics: What Every Owner Should Know,Pet Care General,30,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+7.0,P1-Critical
