cluster,post_count,avg_word_count,avg_trust_intensity,faq_coverage_pct,glossary_coverage_pct,internal_link_density,external_ref_density,comparison_coverage_pct,quick_answer_coverage_pct,overall_authority_density,strongest_dimension,weakest_dimension
Dog Food,3,1914,21.3,100.0,100.0,10.0,0.0,66.7,100.0,57.6,Correction Visibility,Disclosure Visibility
Dog Beds,4,1299,26.8,100.0,100.0,11.2,0.0,50.0,100.0,54.5,Disclosure Visibility,Reference Support
Dog Health,3,1664,34.6,100.0,100.0,11.3,0.7,0.0,100.0,54.4,Disclosure Visibility,Reference Support
Educational,60,1550,27.3,100.0,100.0,12.0,0.8,15.0,96.7,53.1,Disclosure Visibility,Reference Support
Dog Harnesses,4,1275,28.0,100.0,100.0,10.0,0.0,25.0,100.0,52.3,Disclosure Visibility,Reference Support
Puppy Care,8,1360,27.5,100.0,100.0,10.1,0.2,12.5,100.0,51.5,Disclosure Visibility,Reference Support
Dog Supplies,1,1004,36.8,100.0,100.0,15.0,0.0,0.0,100.0,51.1,Disclosure Visibility,Reference Support
Dog Toys,27,1360,19.4,96.3,100.0,12.0,1.9,22.2,88.9,50.8,Reference Support,Disclosure Visibility
Cat Supplies,8,1044,30.5,100.0,100.0,12.4,0.1,12.5,100.0,50.7,Disclosure Visibility,Reference Support
Dog Care,4,1048,33.4,100.0,100.0,13.2,0.0,0.0,100.0,50.3,Disclosure Visibility,Reference Support
Cat Toys,15,1117,20.9,100.0,100.0,12.5,0.0,26.7,100.0,49.5,Correction Visibility,Reference Support
Pet Care General,7,1532,19.3,100.0,100.0,8.3,2.1,0.0,100.0,48.0,Reference Support,Disclosure Visibility
