cluster,post_count,avg_authority,avg_semantic,avg_glossary,avg_trust,avg_comparison,avg_ai_readiness,avg_practical,avg_citation,overall_cluster_score,cluster_tier,strongest_dimension,weakest_dimension
Dog Food,4,41.5,69.8,82.5,52.0,32.0,79.0,27.2,13.8,49.8,C,glossary,citation
Puppy Care,3,29.0,60.0,87.0,49.3,11.0,69.7,31.0,10.0,43.4,D,glossary,citation
Educational,62,28.7,63.5,80.8,58.7,10.1,72.7,24.5,6.8,43.2,D,glossary,citation
Pet Care General,13,34.8,56.2,81.7,40.7,12.1,68.7,30.2,20.5,43.1,D,glossary,comparison
Dog Beds,3,26.7,52.7,87.0,39.7,31.0,72.0,29.0,4.0,42.7,D,glossary,citation
Dog Health,5,33.4,62.8,80.4,53.6,5.8,71.4,26.2,6.8,42.6,D,glossary,comparison
Dog Toys,30,27.9,59.8,79.4,42.9,8.7,69.6,26.7,15.6,41.3,D,glossary,comparison
Cat Supplies,7,26.7,63.1,78.4,54.3,4.3,64.6,23.0,9.7,40.5,D,glossary,comparison
Dog Supplies,1,24.0,60.0,75.0,64.0,0.0,76.0,22.0,0.0,40.1,D,ai_readiness,comparison
Dog Harnesses,3,24.0,61.0,78.3,49.7,13.3,65.3,26.7,0.0,39.8,D,glossary,citation
Dog Care,3,20.0,63.0,77.0,64.0,2.7,69.0,19.0,0.0,39.3,D,glossary,citation
Cat Toys,10,21.5,60.7,75.5,51.0,5.9,59.3,22.7,4.0,37.6,D,glossary,citation
