post_id,title,cluster,term_to_add,term_definition,priority,reason
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
5419,Cat Care Basics: A Glossary for New Cat Owners,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4314,Best Cat Litter Trays UK (2026) – Complete Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4258,Best Cat Collars UK (2026) – Complete Safety Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,cat,body condition score,"A 1-9 scale used by vets to assess whether a pet is underweight, ideal, or overweight by visual and physical checks.",HIGH,Core cat concept missing — essential for beginner readers
