post_id,title,status,primary_cluster,word_count,faq_sections,individual_faqs,question_count,faq_density_score,conversational_readiness,has_faq_schema,faq_gap,ai_faq_readiness
5033,How to Choose the Right Cat Toy for Your Cat's Personality,publish,Cat Toys,404,3,0,1,20,8,False,YES,LOW
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,publish,Cat Toys,405,3,0,2,20,16,False,YES,LOW
3836,Best Dog Food UK (2026) - Complete Buying Guide,publish,Dog Food,4038,1,1,15,35,100,False,YES,MEDIUM
4573,Seasonal Pet Safety: Protecting Pets Through the Year,publish,Pet Care,567,1,2,2,50,16,False,NO,MEDIUM
4415,Cat Toy Safety Guide: What Every Owner Should Know,publish,Cat Supplies,570,1,2,2,50,16,False,NO,MEDIUM
4414,Harness vs Collar: Which Is Better for Your Dog?,publish,Dog Care,470,2,2,2,50,16,False,NO,MEDIUM
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,publish,Dog Care,575,1,2,4,50,32,False,NO,MEDIUM
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,publish,Dog Harnesses,531,1,2,2,50,16,False,NO,MEDIUM
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,publish,Cat Supplies,629,1,2,2,50,16,False,NO,MEDIUM
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,publish,Cat Supplies,569,1,2,2,50,16,False,NO,MEDIUM
4408,How Often Should You Replace Cat Toys? A Practical Guide,publish,Cat Supplies,530,1,2,2,50,16,False,NO,MEDIUM
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,publish,Cat Supplies,564,1,2,2,50,16,False,NO,MEDIUM
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,Cat Supplies,824,1,2,5,50,40,False,NO,MEDIUM
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,publish,Cat Supplies,753,2,2,5,50,40,False,NO,MEDIUM
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,publish,Cat Supplies,745,1,2,5,50,40,False,NO,MEDIUM
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,Cat Supplies,743,1,2,5,50,40,False,NO,MEDIUM
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,Cat Supplies,725,1,2,5,50,40,False,NO,MEDIUM
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,publish,Cat Supplies,777,1,2,5,50,40,False,NO,MEDIUM
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,Cat Supplies,782,2,2,5,50,40,False,NO,MEDIUM
4272,Best Cat ID Tags UK (2026) – Identification Guide,publish,Cat Supplies,794,2,2,5,50,40,False,NO,MEDIUM
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,publish,Cat Supplies,778,2,2,5,50,40,False,NO,MEDIUM
4258,Best Cat Collars UK (2026) – Complete Safety Guide,publish,Cat Supplies,911,1,2,5,50,40,False,NO,MEDIUM
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,publish,Cat Supplies,760,1,2,5,50,40,False,NO,MEDIUM
