cluster,total_posts,faq_saturation_score,faq_pages,total_individual_faqs,avg_faqs_per_post,saturation_level
Dog Supplies,55,62,0,172,3.1,HIGH
Product Reviews,43,53,0,115,2.7,MEDIUM
Cat Supplies,32,44,0,71,2.2,MEDIUM
Pet Care,29,49,0,72,2.5,MEDIUM
Cat Toys,15,46,1,35,2.3,MEDIUM
Dog Care,12,55,0,33,2.8,MEDIUM
Dog Beds,9,66,0,30,3.3,HIGH
Puppy Care,8,72,0,29,3.6,HIGH
Dog Toys,8,72,0,29,3.6,HIGH
Dog Harnesses,7,57,0,20,2.9,MEDIUM
Training Supplies,6,46,0,14,2.3,MEDIUM
Dog Health,5,48,0,12,2.4,MEDIUM
Pet Beds,4,45,0,9,2.2,MEDIUM
Dog Food,4,100,0,21,5.2,HIGH
Uncategorized,3,66,0,10,3.3,HIGH
Buying Guides,3,40,0,6,2.0,MEDIUM
Pet Health,3,40,0,6,2.0,MEDIUM
Interactive Toys,2,60,0,6,3.0,HIGH
Orthopaedic Care,2,80,0,8,4.0,HIGH
Indoor Cats,1,40,0,2,2.0,MEDIUM
