post_id,title,status,cluster,outgoing_links,incoming_links,link_health,hub_reinforcement,spoke_reinforcement,needs_attention
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,publish,Pet Care,1,0,NO_INCOMING,NO,NO,YES
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,publish,Dog Harnesses,1,0,NO_INCOMING,NO,NO,YES
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,publish,Cat Supplies,1,0,NO_INCOMING,NO,NO,YES
4570,First-Time Dog Owner Essentials: What You Need to Know,publish,Dog Care,1,1,WEAK,NO,NO,YES
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,publish,Uncategorized,3,0,NO_INCOMING,YES,NO,YES
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,draft,Uncategorized,4,0,NO_INCOMING,YES,NO,YES
5414,Cat Toy Types Explained: A Complete Glossary,draft,Uncategorized,4,0,NO_INCOMING,YES,NO,YES
4414,Harness vs Collar: Which Is Better for Your Dog?,publish,Dog Care,4,0,NO_INCOMING,YES,NO,YES
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,publish,Dog Care,4,0,NO_INCOMING,YES,NO,YES
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",publish,Dog Care,4,0,NO_INCOMING,YES,NO,YES
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,publish,Cat Supplies,4,0,NO_INCOMING,YES,NO,YES
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,publish,Cat Supplies,4,0,NO_INCOMING,YES,NO,YES
4408,How Often Should You Replace Cat Toys? A Practical Guide,publish,Cat Supplies,4,0,NO_INCOMING,YES,NO,YES
4415,Cat Toy Safety Guide: What Every Owner Should Know,publish,Cat Supplies,4,1,WEAK,YES,NO,YES
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,publish,Dog Supplies,5,0,NO_INCOMING,YES,NO,YES
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,publish,Dog Food,4,2,MODERATE,YES,YES,NO
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,publish,Dog Food,4,3,STRONG,YES,YES,NO
4568,Dog Dental Health: A Practical Care Guide,publish,Dog Care,1,7,WEAK,NO,YES,YES
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,publish,Dog Care,1,7,WEAK,NO,YES,YES
4563,Dog Grooming Basics: A Complete Guide for Owners,publish,Dog Care,1,7,WEAK,NO,YES,YES
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,publish,Dog Food,4,4,STRONG,YES,YES,NO
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,publish,Buying Guides,9,0,NO_INCOMING,YES,NO,YES
4792,Puppy Socialisation: A Complete Timeline Guide,publish,Dog Supplies,8,2,MODERATE,YES,YES,NO
4790,DIY Dog Toys: Safe Homemade Options,publish,Dog Supplies,8,2,MODERATE,YES,YES,NO
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,publish,Dog Beds,8,2,MODERATE,YES,YES,NO
4785,How to Wash and Maintain Your Dog's Bed,publish,Dog Beds,8,2,MODERATE,YES,YES,NO
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,publish,Cat Supplies,7,3,STRONG,YES,YES,NO
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,publish,Cat Supplies,7,3,STRONG,YES,YES,NO
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,publish,Cat Supplies,7,3,STRONG,YES,YES,NO
4202,Best Cat Beds UK (2026) – Complete Guide,publish,Cat Supplies,7,3,STRONG,YES,YES,NO
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,publish,Dog Health,7,3,STRONG,YES,YES,NO
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,publish,Dog Health,7,3,STRONG,YES,YES,NO
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,publish,Dog Health,7,3,STRONG,YES,YES,NO
4089,Best Dog Health and Care UK (2026) – Complete Guide,publish,Dog Health,7,3,STRONG,YES,YES,NO
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,publish,Dog Supplies,6,4,STRONG,YES,YES,NO
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,publish,Dog Harnesses,7,3,STRONG,YES,YES,NO
3836,Best Dog Food UK (2026) - Complete Buying Guide,publish,Dog Food,7,3,STRONG,YES,YES,NO
4791,How to Choose the Right Dog Training Treats,publish,Dog Supplies,8,3,STRONG,YES,YES,NO
