post_id,title,cluster,answer_density_score,extraction_quality,conversational_readiness,overall_answer_quality,improvement_priority
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,0,90,8,MEDIUM,MEDIUM
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,0,88,16,MEDIUM,MEDIUM
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,0,80,40,MEDIUM,MEDIUM
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,0,76,40,MEDIUM,MEDIUM
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,20,79,80,MEDIUM,MEDIUM
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,35,78,76,MEDIUM,MEDIUM
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,35,88,36,MEDIUM,MEDIUM
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,35,86,36,MEDIUM,MEDIUM
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,35,85,52,MEDIUM,MEDIUM
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,35,91,36,MEDIUM,MEDIUM
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Supplies,35,77,36,MEDIUM,MEDIUM
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,35,78,60,MEDIUM,MEDIUM
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,40,59,100,HIGH,LOW
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,55,88,44,HIGH,LOW
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,55,72,52,HIGH,LOW
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,55,80,44,HIGH,LOW
4791,How to Choose the Right Dog Training Treats,Dog Supplies,55,93,44,HIGH,LOW
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,55,85,44,HIGH,LOW
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,55,85,44,HIGH,LOW
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,55,77,44,HIGH,LOW
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,55,81,44,HIGH,LOW
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,55,83,44,HIGH,LOW
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,55,80,44,HIGH,LOW
4783,How to Choose the Right Dog Bed Size,Dog Beds,55,76,44,HIGH,LOW
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,55,85,44,HIGH,LOW
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,55,87,52,HIGH,LOW
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,55,66,44,HIGH,LOW
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,55,78,44,HIGH,LOW
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,55,86,44,HIGH,LOW
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,55,92,60,HIGH,LOW
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,55,85,36,HIGH,LOW
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,55,82,52,HIGH,LOW
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,55,89,36,HIGH,LOW
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Supplies,55,86,36,HIGH,LOW
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,55,84,60,HIGH,LOW
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Dog Supplies,55,77,60,HIGH,LOW
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Dog Supplies,55,75,60,HIGH,LOW
4125,Best Dog Training Treats UK (2026) – Reward Guide,Buying Guides,55,78,60,HIGH,LOW
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Buying Guides,55,79,60,HIGH,LOW
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,55,82,68,HIGH,LOW
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,55,82,60,HIGH,LOW
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,55,85,60,HIGH,LOW
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,55,66,76,HIGH,LOW
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Buying Guides,55,86,36,HIGH,LOW
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,75,81,76,HIGH,LOW
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,75,86,36,HIGH,LOW
4568,Dog Dental Health: A Practical Care Guide,Dog Care,75,89,44,HIGH,LOW
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,75,80,60,HIGH,LOW
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,75,73,60,HIGH,LOW
4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,75,78,60,HIGH,LOW
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,75,77,76,HIGH,LOW
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,75,80,60,HIGH,LOW
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,75,78,60,HIGH,LOW
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,75,74,68,HIGH,LOW
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,75,78,60,HIGH,LOW
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,75,81,60,HIGH,LOW
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,75,81,60,HIGH,LOW
