source_id,source_title,target_id,target_title,source_cluster,target_cluster,cross_cluster,link_url
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Uncategorized,Dog Supplies,YES,https://pethubonline.com/best-dog-toys-uk/
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4789,Best Types of Dog Toys for Different Play Styles,Uncategorized,Dog Supplies,YES,https://pethubonline.com/dog-toys-for-different-play-styles/
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Uncategorized,Dog Supplies,YES,https://pethubonline.com/mental-stimulation-for-dogs/
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,4787,Dog Toy Safety: What Every Owner Needs to Know,Uncategorized,Dog Supplies,YES,https://pethubonline.com/dog-toy-safety-guide/
5414,Cat Toy Types Explained: A Complete Glossary,4174,Best Cat Toys UK (2026) – Complete Guide,Uncategorized,Cat Supplies,YES,https://pethubonline.com/best-cat-toys-uk/
5414,Cat Toy Types Explained: A Complete Glossary,4415,Cat Toy Safety Guide: What Every Owner Should Know,Uncategorized,Cat Supplies,YES,https://pethubonline.com/cat-toy-safety-guide/
5414,Cat Toy Types Explained: A Complete Glossary,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Uncategorized,Cat Toys,YES,https://pethubonline.com/cat-toy-rotation-guide/
5414,Cat Toy Types Explained: A Complete Glossary,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Uncategorized,Cat Toys,YES,https://pethubonline.com/cat-enrichment-beyond-toys/
5033,How to Choose the Right Cat Toy for Your Cat's Personality,5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,Cat Toys,NO,https://pethubonline.com/understanding-cat-play-behaviour/
5033,How to Choose the Right Cat Toy for Your Cat's Personality,4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,Cat Supplies,YES,https://pethubonline.com/best-catnip-toys-uk/
5033,How to Choose the Right Cat Toy for Your Cat's Personality,5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,Cat Toys,NO,https://pethubonline.com/cat-toy-rotation-guide/
5033,How to Choose the Right Cat Toy for Your Cat's Personality,5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,Cat Toys,NO,https://pethubonline.com/cat-enrichment-beyond-toys/
