post_id,title,cluster,total_entity_mentions,is_glossary_page,entity_density,ai_entity_readiness
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,17,YES,HIGH,HIGH
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,6,YES,MEDIUM,MEDIUM
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,15,YES,HIGH,HIGH
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,9,YES,MEDIUM,HIGH
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,10,YES,HIGH,HIGH
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,6,YES,MEDIUM,MEDIUM
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,9,NO,MEDIUM,HIGH
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,3,NO,LOW,LOW
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,3,NO,LOW,LOW
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,13,NO,HIGH,MEDIUM
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,12,NO,HIGH,HIGH
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,5,NO,MEDIUM,MEDIUM
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Supplies,8,NO,MEDIUM,HIGH
4791,How to Choose the Right Dog Training Treats,Dog Supplies,5,NO,MEDIUM,MEDIUM
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,9,NO,MEDIUM,HIGH
4789,Best Types of Dog Toys for Different Play Styles,Dog Supplies,9,YES,MEDIUM,HIGH
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Supplies,14,NO,HIGH,HIGH
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Supplies,9,NO,MEDIUM,HIGH
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,2,NO,LOW,LOW
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,4,NO,LOW,LOW
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,4,YES,LOW,LOW
4783,How to Choose the Right Dog Bed Size,Dog Beds,2,NO,LOW,LOW
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,8,NO,MEDIUM,MEDIUM
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,18,YES,HIGH,HIGH
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,5,NO,MEDIUM,MEDIUM
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,3,NO,LOW,LOW
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,3,YES,LOW,LOW
4568,Dog Dental Health: A Practical Care Guide,Dog Care,7,NO,MEDIUM,MEDIUM
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,7,NO,MEDIUM,MEDIUM
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,6,YES,MEDIUM,MEDIUM
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,11,NO,HIGH,HIGH
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,8,NO,MEDIUM,HIGH
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Care,6,NO,MEDIUM,MEDIUM
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Care,4,NO,LOW,LOW
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,4,NO,LOW,LOW
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Care,7,YES,MEDIUM,MEDIUM
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Supplies,13,NO,HIGH,HIGH
