id,title,comparison_table_added,checklist_added,next_steps_added,uk_refs_added,status
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,exists,yes,yes,exists,updated
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,exists,yes,yes,exists,updated
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,exists,yes,yes,exists,updated
7337,Puppy Vaccination Schedule UK: What to Expect and When,yes,yes,yes,exists,updated
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,yes,yes,yes,exists,updated
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,yes,yes,yes,exists,updated
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",yes,yes,yes,exists,updated
7341,First Week with a New Puppy: A Day-by-Day Guide,yes,yes,yes,exists,updated
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,yes,yes,yes,exists,updated
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,yes,yes,yes,exists,updated
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,yes,yes,yes,exists,updated
