cluster,competitor,competitor_has_guides,competitor_has_glossary,competitor_has_comparisons,competitor_trust_signals,pethub_advantage,competitor_advantage,displacement_opportunity
Dog Food,Pets at Home,yes,no,yes,yes,deeper glossary/terminology; structured Gutenberg blocks for AI extraction; UK-focused with named UK authorities,product-level comparisons with pricing; retail trust and in-store vet access; product-driven guides with buy links,"add UK pricing context to comparison tables; emphasize independent, unbiased editorial stance"
Dog Food,Zooplus,yes,no,yes,no,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",product-level comparisons with pricing; product-driven guides with buy links; product listings and user reviews,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Food,Purina,yes,no,no,yes,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,in-house vet team and brand credibility; brand-backed educational content,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Dog Food,Rover,yes,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",lifestyle and community content,add community-oriented practical content
Dog Food,Cats.com,no,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",none identified,maintain current advantage
Dog Health,Pets at Home,yes,no,no,yes,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,retail trust and in-store vet access; product-driven guides with buy links; product listings and user reviews,"emphasize independent, unbiased editorial stance; maintain educational depth that retailers cannot match"
Dog Health,Zooplus,yes,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",product-driven guides with buy links; product listings and user reviews,maintain educational depth that retailers cannot match; reference retailer products while providing deeper analysis
Dog Health,Purina,yes,no,no,yes,deeper glossary/terminology; comparison tables and feature analysis; structured Gutenberg blocks for AI extraction,in-house vet team and brand credibility; brand-backed educational content,"strengthen named UK authority citations (BVA, RSPCA); highlight independent cross-brand analysis"
Dog Health,Rover,yes,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",lifestyle and community content,add community-oriented practical content
Dog Health,Cats.com,no,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",none identified,maintain current advantage
Dog Beds,Pets at Home,yes,no,yes,no,"deeper glossary/terminology; stronger UK trust signals (RSPCA, BVA, PDSA); structured Gutenberg blocks for AI extraction",product-level comparisons with pricing; product-driven guides with buy links; product listings and user reviews,add UK pricing context to comparison tables; maintain educational depth that retailers cannot match
Dog Beds,Zooplus,no,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",product listings and user reviews,reference retailer products while providing deeper analysis
Dog Beds,Purina,no,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",none identified,maintain current advantage
Dog Beds,Rover,yes,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",lifestyle and community content,add community-oriented practical content
Dog Beds,Cats.com,no,no,no,no,"deeper glossary/terminology; comparison tables and feature analysis; stronger UK trust signals (RSPCA, BVA, PDSA)",none identified,maintain current advantage
