cluster,post_count,total_words,faq_pct,sources_pct,quick_answer_pct,comparison_pct,trust_link_pct,avg_internal_links,glossary_posts
Cat Supplies,6,6272,100.0,100.0,100.0,0.0,100.0,10.0,0
Cat Toys,12,13298,100.0,100.0,100.0,16.7,66.7,15.6,0
Dog Beds,8,14350,100.0,62.5,100.0,25.0,50.0,9.5,1
Dog Care,1,1164,100.0,100.0,100.0,100.0,0.0,6.0,0
Dog Food,6,16479,100.0,66.7,100.0,83.3,0.0,7.5,1
Dog Grooming,10,12491,100.0,90.0,100.0,0.0,90.0,12.0,1
Dog Harnesses,12,14325,100.0,100.0,100.0,25.0,91.7,10.8,1
Dog Health,6,8327,100.0,66.7,100.0,0.0,100.0,8.0,0
Dog Toys,43,63065,97.7,37.2,88.4,37.2,14.0,10.1,1
Dog Training,9,13815,100.0,55.6,100.0,33.3,33.3,8.3,3
Educational,14,20772,100.0,85.7,100.0,7.1,42.9,11.0,6
Indoor Cats,2,4316,100.0,50.0,100.0,0.0,0.0,8.5,0
Puppy Care,3,6517,100.0,66.7,100.0,0.0,33.3,7.7,0
Uncategorized,12,12288,100.0,83.3,100.0,25.0,33.3,8.8,0
