id,title,cluster,glossary_added,common_mistakes_added,seek_help_added,beginner_recs_added,at_a_glance_status,key_takeaways_status,status
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,already_exists,added,already_exists,added,already_exists,already_exists,updated
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,already_exists,already_exists,already_exists,added,already_exists,already_exists,updated
3960,Best Puppy Toys UK (2026) – Teething &#038; First Toys Guide,Puppy Care,already_exists,already_exists,already_exists,added,already_exists,already_exists,updated
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,added,added,added,added,added,added,updated
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,already_exists,already_exists,added,added,added,added,updated
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,added,added,added,added,added,added,updated
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,already_exists,already_exists,added,added,added,added,updated
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,already_exists,already_exists,added,added,added,added,updated
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Puppy Care,added,added,added,added,added,added,updated
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,already_exists,added,already_exists,added,already_exists,already_exists,updated
4568,Dog Dental Health: A Practical Care Guide,Dog Health,already_exists,already_exists,already_exists,already_exists,already_exists,already_exists,no_changes
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,already_exists,already_exists,already_exists,added,already_exists,already_exists,updated
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,already_exists,already_exists,already_exists,added,already_exists,already_exists,updated
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,already_exists,already_exists,already_exists,already_exists,already_exists,already_exists,no_changes
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,already_exists,added,already_exists,added,already_exists,already_exists,updated
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Health,already_exists,already_exists,added,added,added,added,updated
