post_id,title,cluster,publish_date,time_to_index_est,crawl_status,impressions_status,clicks_status,crawl_frequency_est,faq_extraction_ready,ai_readiness,internal_link_impact
5032,"Cat Toys FAQ",Cat Toys,2026-05-26,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,3_INBOUND
5033,"How to Choose Cat Toy",Cat Toys,2026-05-26,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,4_INBOUND
5034,"Cat Toy Rotation",Cat Toys,2026-05-26,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,3_INBOUND
5035,"Cat Enrichment Beyond Toys",Cat Toys,2026-05-26,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,3_INBOUND
5036,"Cat Play Behaviour",Cat Toys,2026-05-26,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,3_INBOUND
5296,"Best Indoor Cat Toys UK",Cat Toys,2026-05-27,PENDING,SUBMITTED,MONITORING,MONITORING,DAILY_EST,YES,HIGH,5_INBOUND
4787,"Dog Toy Safety",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,4_INBOUND
4788,"Mental Stimulation for Dogs",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,3_INBOUND
4789,"Best Types Dog Toys Play Styles",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,4_INBOUND
4790,"DIY Dog Toys",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,3_INBOUND
4791,"Dog Training Treats",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,3_INBOUND
4792,"Puppy Socialisation",Dog Toys,2026-05-25,48H_EST,INDEXED,ACTIVE,MONITORING,WEEKLY_EST,YES,HIGH,3_INBOUND
5414,"Cat Toy Types Glossary",Cat Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5415,"Dog Play Styles Explained",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5416,"Dog Bed Types Glossary",Dog Beds,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5417,"Puppy Care Essentials",Puppy Care,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5418,"Dog Harness Types",Dog Harnesses,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5419,"Cat Care Basics Glossary",Cat Supplies,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,2_INBOUND
5420,"Dog Toy Cleaning Guide",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
5421,"Puppy-Safe Dog Toys",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
5422,"Indoor vs Outdoor Dog Toys",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
5423,"Dog Toy Enrichment",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
5424,"Aggressive Chewer Guide",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
5425,"Dog Toys FAQ",Dog Toys,2026-05-28,PENDING,PENDING,PENDING,PENDING,PENDING,YES,HIGH,3_INBOUND
