cluster,cat_behavior_coverage,dog_behavior_coverage,enrichment_coverage,safety_coverage,nutrition_coverage,training_coverage,grooming_coverage,materials_coverage,missing_entity_domains,entity_completeness
Buying Guides,5,2,8,3,8,6,4,0,dog_behavior; materials,HIGH
Cat Supplies,47,9,61,46,10,2,33,13,training,HIGH
Cat Toys,19,2,24,4,0,2,2,5,dog_behavior; nutrition; training; grooming,MEDIUM
Dog Beds,2,14,0,6,0,10,5,19,cat_behavior; enrichment; nutrition,MEDIUM
Dog Care,14,7,4,19,5,11,40,7,NONE,HIGH
Dog Food,0,10,2,8,25,3,3,2,cat_behavior; enrichment; materials,MEDIUM
Dog Harnesses,1,0,1,4,0,7,1,3,cat_behavior; dog_behavior; enrichment; nutrition; grooming,LOW
Dog Health,3,6,1,4,3,0,5,0,enrichment; training; materials,MEDIUM
Dog Supplies,24,68,80,62,24,30,10,42,NONE,HIGH
Pet Care,1,1,0,5,3,0,1,0,cat_behavior; dog_behavior; enrichment; training; grooming; materials,LOW
Uncategorized,11,4,18,5,2,0,1,3,nutrition; training; grooming,MEDIUM
