id,type,action,title,fixes
4,pages,restored_from_backup,Pet Hub Online – Pet Supplies Online,
37,pages,restored_from_backup,Contact Pet Hub Online,
38,pages,restored_from_backup,Blog,
39,pages,restored_from_backup,About Us,
1041,pages,restored_from_backup,Dog Toys,
1141,pages,restored_from_backup,Dog Beds,
1144,pages,restored_from_backup,Dog Grooming,
1146,pages,restored_from_backup,Dog Collars & Leashes,
1149,pages,restored_from_backup,Cat Toys,
1951,pages,restored_from_backup,Dog Bowls & Feeding,
1956,pages,restored_from_backup,Dog Training & Behaviour,
1960,pages,restored_from_backup,Dog Health & Care,
3107,pages,restored_from_backup,Cat Beds,
3109,pages,restored_from_backup,Cat Grooming,
3111,pages,restored_from_backup,Cat Collars,
3113,pages,restored_from_backup,Cat Scratching Posts,
3115,pages,restored_from_backup,Cat Litter Trays,
63,pages,restored_from_revision,Dog Supplies,
1176,pages,restored_from_revision,Cat Supplies,
4335,posts,group_to_html,Best Cat Litter Disposal UK (2026) – Waste Managem,2
4328,posts,group_to_html,Best Self-Cleaning Litter Trays UK (2026) – Automa,2
4321,posts,group_to_html,Best Cat Litter UK (2026) – Types & Comparison Gui,2
4314,posts,group_to_html,Best Cat Litter Trays UK (2026) – Complete Guide,2
4307,posts,group_to_html,Best Wall-Mounted Cat Scratchers UK (2026) – Space,2
4300,posts,group_to_html,Best Cardboard Cat Scratchers UK (2026) – Budget F,2
4293,posts,group_to_html,Best Cat Trees UK (2026) – Climbing & Scratching T,2
4286,posts,group_to_html,Best Cat Scratching Posts UK (2026) – Complete Gui,2
4279,posts,group_to_html,Best Cat Harnesses UK (2026) – Safe Walking Guide,2
4272,posts,group_to_html,Best Cat ID Tags UK (2026) – Identification Guide,2
4265,posts,group_to_html,Best Cat GPS Trackers UK (2026) – Location Trackin,2
4258,posts,group_to_html,Best Cat Collars UK (2026) – Complete Safety Guide,2
4251,posts,group_to_html,Best Cat Shampoo UK (2026) – When & How to Bathe,2
4244,posts,group_to_html,Best Cat Nail Clippers UK (2026) – Safe Trimming G,2
4237,posts,group_to_html,Best Cat Brushes UK (2026) – Guide by Coat Type,2
4230,posts,group_to_html,Best Cat Grooming Supplies UK (2026) – Complete Gu,2
4223,posts,group_to_html,Best Cat Window Perches UK (2026) – Sunning & Bird,2
4216,posts,group_to_html,Best Cat Radiator Beds UK (2026) – Hook-On Warmth ,2
4209,posts,group_to_html,Best Heated Cat Beds UK (2026) – Winter Warmth Gui,2
4202,posts,group_to_html,Best Cat Beds UK (2026) – Complete Guide,2
4195,posts,group_to_html,Best Cat Toys for Indoor Cats UK (2026) – Enrichme,2
4188,posts,group_to_html,Best Catnip Toys UK (2026) – What Works and Why,2
4181,posts,group_to_html,Best Interactive Cat Toys UK (2026) – Wand & Puzzl,2
4174,posts,group_to_html,Best Cat Toys UK (2026) – Complete Guide,2
4167,posts,group_to_html,Best Dog Water Bottles UK (2026) – Travel Hydratio,2
4160,posts,group_to_html,Best Elevated Dog Bowls UK (2026) – Raised Feeder ,2
4153,posts,group_to_html,Best Slow Feeder Dog Bowls UK (2026) – Prevent Spe,2
4146,posts,group_to_html,Best Dog Bowls and Feeding UK (2026) – Complete Gu,2
4139,posts,group_to_html,Best Dog Training Leads UK (2026) – Long Lines & H,2
4132,posts,group_to_html,Best Puppy Training Guide UK (2026) – First Year E,2
4125,posts,group_to_html,Best Dog Training Treats UK (2026) – Reward Guide,2
4118,posts,group_to_html,Best Dog Training and Behaviour UK (2026) – Comple,2
4110,posts,group_to_html,Best Dog Joint Supplements UK (2026) – Mobility Su,2
4103,posts,group_to_html,Best Dog Flea Treatment UK (2026) – Prevention Gui,2
4096,posts,group_to_html,Best Dog Dental Care UK (2026) – Teeth Cleaning Gu,2
4089,posts,group_to_html,Best Dog Health and Care UK (2026) – Complete Guid,2
4078,posts,group_to_html,Best Dog Nail Clippers UK (2026) – Trimming & Grin,2
4071,posts,group_to_html,Best Dog Shampoo UK (2026) – Ingredients & Safety ,2
4064,posts,group_to_html,Best Dog Brushes UK (2026) – Guide by Coat Type,2
4057,posts,group_to_html,Best Dog Grooming Supplies UK (2026) – Complete Gu,2
4049,posts,group_to_html,Best Puppy Collars UK (2026) – First Collar & Harn,2
4042,posts,group_to_html,Best Dog Leads UK (2026) – Walking & Training Lead,2
4034,posts,group_to_html,Best No-Pull Dog Harnesses UK (2026) – Training & ,2
4027,posts,group_to_html,Best Dog Collars and Harnesses UK (2026) – Complet,2
4018,posts,group_to_html,Best Puppy Beds UK (2026) – First Bed & Crate Trai,2
4011,posts,group_to_html,Best Cooling Dog Beds UK (2026) – Temperature Regu,2
4004,posts,group_to_html,Best Orthopaedic Dog Beds UK (2026) – Joint Suppor,2
3996,posts,group_to_html,Best Dog Beds UK (2026) – Complete Guide & Honest ,2
3960,posts,group_to_html,Best Puppy Toys UK (2026) – Teething & First Toys ,2
3959,posts,group_to_html,Best Interactive Dog Toys UK (2026) – Puzzle & Enr,2
3957,posts,group_to_html,Best Indestructible Dog Toys UK (2026) – Tough Toy,2
3956,posts,group_to_html,Best Dog Toys UK (2026) – Complete Guide & Honest ,2
3839,posts,group_to_html,Best Puppy Food UK (2026) - Growth-Stage Nutrition,3
3838,posts,group_to_html,Dry vs Wet Dog Food UK - An Honest Comparison Guid,2
3837,posts,group_to_html,Best Dry Dog Food UK (2026) - Evidence-Based Guide,2
3836,posts,group_to_html,Best Dog Food UK (2026) - Complete Buying Guide,1
696,posts,group_to_html,Essential Cat Supplies for Cat Owners - Number 1 M,1
