id,type,title,status,migration_result,issues,block_count
4335,posts,Best Cat Litter Disposal UK (2026) – Waste Management Guide,publish,migrated_clean,none,43
4328,posts,Best Self-Cleaning Litter Trays UK (2026) – Automatic Option,publish,migrated_clean,none,40
4321,posts,Best Cat Litter UK (2026) – Types & Comparison Guide,publish,migrated_clean,none,45
4314,posts,Best Cat Litter Trays UK (2026) – Complete Guide,publish,migrated_clean,none,48
4307,posts,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,publish,migrated_clean,none,40
4300,posts,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,publish,migrated_clean,none,40
4293,posts,Best Cat Trees UK (2026) – Climbing & Scratching Towers,publish,migrated_clean,none,40
4286,posts,Best Cat Scratching Posts UK (2026) – Complete Guide,publish,migrated_clean,none,46
4279,posts,Best Cat Harnesses UK (2026) – Safe Walking Guide,publish,migrated_clean,none,39
4272,posts,Best Cat ID Tags UK (2026) – Identification Guide,publish,migrated_clean,none,39
4265,posts,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,publish,migrated_clean,none,39
4258,posts,Best Cat Collars UK (2026) – Complete Safety Guide,publish,migrated_clean,none,45
4251,posts,Best Cat Shampoo UK (2026) – When & How to Bathe,publish,migrated_clean,none,41
4244,posts,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,publish,migrated_clean,none,38
4237,posts,Best Cat Brushes UK (2026) – Guide by Coat Type,publish,migrated_clean,none,42
4230,posts,Best Cat Grooming Supplies UK (2026) – Complete Guide,publish,migrated_clean,none,38
4223,posts,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,publish,migrated_clean,none,37
4216,posts,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,publish,migrated_clean,none,37
4209,posts,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,publish,migrated_clean,none,39
4202,posts,Best Cat Beds UK (2026) – Complete Guide,publish,migrated_clean,none,45
4195,posts,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,publish,migrated_clean,none,38
4188,posts,Best Catnip Toys UK (2026) – What Works and Why,publish,migrated_clean,none,37
4181,posts,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,publish,migrated_clean,none,37
4174,posts,Best Cat Toys UK (2026) – Complete Guide,publish,migrated_clean,none,45
