id,title,heading_structure,faq_present,schema_type,entity_clarity,conversational_coverage,ai_visibility_score,priority_for_ai_opt
3996,Best Dog Beds UK (2026),H1>H2>H3,yes,FAQPage+Product,high,high,88,maintain
4004,Best Orthopaedic Dog Beds UK (2026),H1>H2>H3,yes,FAQPage+Product,high,medium,82,maintain
4783,How to Choose the Right Dog Bed Size,H1>H2>H3,yes,FAQPage,high,high,85,maintain
4784,Dog Bed Materials Explained,H1>H2>H3,yes,FAQPage,high,high,84,maintain
4785,How to Wash and Maintain Your Dog's Bed,H1>H2>H3,yes,FAQPage,high,high,83,maintain
4786,Where to Place Your Dog's Bed,H1>H2>H3,yes,FAQPage,medium,high,80,enhance
3956,Best Dog Toys UK (2026),H1>H2>H3,yes,FAQPage+Product,high,high,87,maintain
4787,Dog Toy Safety,H1>H2>H3,yes,FAQPage,high,high,86,maintain
4788,Mental Stimulation for Dogs,H1>H2>H3,yes,FAQPage,high,high,85,maintain
4789,Dog Toys for Different Play Styles,H1>H2>H3,yes,FAQPage,medium,high,81,enhance
4790,DIY Dog Toys,H1>H2>H3,yes,FAQPage,medium,medium,78,enhance
4791,How to Choose Dog Training Treats,H1>H2>H3,yes,FAQPage,high,high,84,maintain
4792,Puppy Socialisation Guide,H1>H2>H3,yes,FAQPage,high,high,85,maintain
4118,Best Dog Training & Behaviour UK (2026),H1>H2>H3,yes,FAQPage+Product,high,medium,82,maintain
3836,Best Dog Food UK (2026),H1>H2>H3,yes,FAQPage+Product,high,high,90,maintain
