source_id,source_title,target_url,target_title,link_type,added_phase
3996,Best Dog Beds UK (2026),https://pethubonline.com/how-to-choose-dog-bed-size/,How to Choose the Right Dog Bed Size,supporting-to-expansion,10D
3996,Best Dog Beds UK (2026),https://pethubonline.com/dog-bed-materials-guide/,Dog Bed Materials Explained,supporting-to-expansion,10D
3996,Best Dog Beds UK (2026),https://pethubonline.com/how-to-wash-dog-bed/,How to Wash and Maintain Your Dog's Bed,supporting-to-expansion,10D
4004,Best Orthopaedic Dog Beds UK (2026),https://pethubonline.com/how-to-choose-dog-bed-size/,How to Choose the Right Dog Bed Size,supporting-to-expansion,10D
4004,Best Orthopaedic Dog Beds UK (2026),https://pethubonline.com/dog-bed-materials-guide/,Dog Bed Materials Explained,supporting-to-expansion,10D
4011,Best Cooling Dog Beds UK (2026),https://pethubonline.com/where-to-place-dog-bed/,Where to Place Your Dog's Bed,supporting-to-expansion,10D
4018,Best Puppy Beds UK (2026),https://pethubonline.com/how-to-wash-dog-bed/,How to Wash and Maintain Your Dog's Bed,supporting-to-expansion,10D
4018,Best Puppy Beds UK (2026),https://pethubonline.com/where-to-place-dog-bed/,Where to Place Your Dog's Bed,supporting-to-expansion,10D
3956,Best Dog Toys UK (2026),https://pethubonline.com/dog-toy-safety-guide/,Dog Toy Safety: What Every Owner Needs to Know,supporting-to-expansion,10D
3956,Best Dog Toys UK (2026),https://pethubonline.com/mental-stimulation-for-dogs/,Mental Stimulation for Dogs,supporting-to-expansion,10D
3956,Best Dog Toys UK (2026),https://pethubonline.com/dog-toys-for-different-play-styles/,Best Types of Dog Toys for Different Play Styles,supporting-to-expansion,10D
3957,Best Indestructible Dog Toys UK (2026),https://pethubonline.com/dog-toy-safety-guide/,Dog Toy Safety: What Every Owner Needs to Know,supporting-to-expansion,10D
3957,Best Indestructible Dog Toys UK (2026),https://pethubonline.com/diy-dog-toys-homemade/,DIY Dog Toys: Safe Homemade Options,supporting-to-expansion,10D
3959,Best Interactive Dog Toys UK (2026),https://pethubonline.com/mental-stimulation-for-dogs/,Mental Stimulation for Dogs,supporting-to-expansion,10D
3959,Best Interactive Dog Toys UK (2026),https://pethubonline.com/dog-toys-for-different-play-styles/,Best Types of Dog Toys for Different Play Styles,supporting-to-expansion,10D
3960,Best Puppy Toys UK (2026),https://pethubonline.com/dog-toy-safety-guide/,Dog Toy Safety: What Every Owner Needs to Know,supporting-to-expansion,10D
4118,Best Dog Training and Behaviour UK (2026),https://pethubonline.com/how-to-choose-dog-training-treats/,How to Choose the Right Dog Training Treats,supporting-to-expansion,10D
4118,Best Dog Training and Behaviour UK (2026),https://pethubonline.com/puppy-socialisation-guide/,Puppy Socialisation: A Complete Timeline Guide,supporting-to-expansion,10D
4125,Best Dog Training Treats UK (2026),https://pethubonline.com/how-to-choose-dog-training-treats/,How to Choose the Right Dog Training Treats,supporting-to-expansion,10D
4132,Best Puppy Training Guide UK (2026),https://pethubonline.com/puppy-socialisation-guide/,Puppy Socialisation: A Complete Timeline Guide,supporting-to-expansion,10D
4132,Best Puppy Training Guide UK (2026),https://pethubonline.com/how-to-choose-dog-training-treats/,How to Choose the Right Dog Training Treats,supporting-to-expansion,10D
4139,Best Dog Training Leads UK (2026),https://pethubonline.com/puppy-socialisation-guide/,Puppy Socialisation: A Complete Timeline Guide,supporting-to-expansion,10D
4783,How to Choose the Right Dog Bed Size,https://pethubonline.com/dog-bed-materials-guide/,Dog Bed Materials Explained,expansion-to-expansion,10D
4783,How to Choose the Right Dog Bed Size,https://pethubonline.com/where-to-place-dog-bed/,Where to Place Your Dog's Bed,expansion-to-expansion,10D
4787,Dog Toy Safety,https://pethubonline.com/diy-dog-toys-homemade/,DIY Dog Toys: Safe Homemade Options,expansion-to-expansion,10D
