id,title,cluster,slug,status,link,seo,block_count,gates_passed,issues
4783,How to Choose the Right Dog Bed Size,Dog Beds,how-to-choose-dog-bed-size,published,https://pethubonline.com/how-to-choose-dog-bed-size/,ok,29,12/12,
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,dog-bed-materials-guide,published,https://pethubonline.com/dog-bed-materials-guide/,ok,33,12/12,
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,how-to-wash-dog-bed,published,https://pethubonline.com/how-to-wash-dog-bed/,ok,33,12/12,
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,where-to-place-dog-bed,published,https://pethubonline.com/where-to-place-dog-bed/,ok,34,12/12,
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,dog-toy-safety-guide,published,https://pethubonline.com/dog-toy-safety-guide/,ok,32,12/12,
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,mental-stimulation-for-dogs,published,https://pethubonline.com/mental-stimulation-for-dogs/,ok,35,12/12,
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,dog-toys-for-different-play-styles,published,https://pethubonline.com/dog-toys-for-different-play-styles/,ok,33,12/12,
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,diy-dog-toys-homemade,published,https://pethubonline.com/diy-dog-toys-homemade/,ok,33,12/12,
4791,How to Choose the Right Dog Training Treats,Training Supplies,how-to-choose-dog-training-treats,published,https://pethubonline.com/how-to-choose-dog-training-treats/,ok,32,12/12,
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,puppy-socialisation-guide,published,https://pethubonline.com/puppy-socialisation-guide/,ok,34,12/12,
