id,type,title,slug,url,sitemap_present,canonical_set,noindex,estimated_index_status,priority,notes
3996,post,Best Dog Beds UK (2026),best-dog-beds-uk,https://pethubonline.com/best-dog-beds-uk/,yes,yes,no,indexed,high,Pillar – high priority
4004,post,Best Orthopaedic Dog Beds UK (2026),best-orthopaedic-dog-beds-uk,https://pethubonline.com/best-orthopaedic-dog-beds-uk/,yes,yes,no,indexed,high,Supporting
4011,post,Best Cooling Dog Beds UK (2026),best-cooling-dog-beds-uk,https://pethubonline.com/best-cooling-dog-beds-uk/,yes,yes,no,indexed,high,Supporting
4018,post,Best Puppy Beds UK (2026),best-puppy-beds-uk,https://pethubonline.com/best-puppy-beds-uk/,yes,yes,no,indexed,high,Supporting
4783,post,How to Choose the Right Dog Bed Size,how-to-choose-dog-bed-size,https://pethubonline.com/how-to-choose-dog-bed-size/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4784,post,Dog Bed Materials Explained,dog-bed-materials-guide,https://pethubonline.com/dog-bed-materials-guide/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4785,post,How to Wash and Maintain Your Dog's Bed,how-to-wash-dog-bed,https://pethubonline.com/how-to-wash-dog-bed/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4786,post,Where to Place Your Dog's Bed,where-to-place-dog-bed,https://pethubonline.com/where-to-place-dog-bed/,yes,yes,no,pending_index,high,New 10D – submit to GSC
3956,post,Best Dog Toys UK (2026),best-dog-toys-uk,https://pethubonline.com/best-dog-toys-uk/,yes,yes,no,indexed,high,Pillar
4787,post,Dog Toy Safety,dog-toy-safety-guide,https://pethubonline.com/dog-toy-safety-guide/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4788,post,Mental Stimulation for Dogs,mental-stimulation-for-dogs,https://pethubonline.com/mental-stimulation-for-dogs/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4789,post,Dog Toys for Different Play Styles,dog-toys-for-different-play-styles,https://pethubonline.com/dog-toys-for-different-play-styles/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4790,post,DIY Dog Toys,diy-dog-toys-homemade,https://pethubonline.com/diy-dog-toys-homemade/,yes,yes,no,pending_index,medium,New 10D – submit to GSC
4791,post,How to Choose Dog Training Treats,how-to-choose-dog-training-treats,https://pethubonline.com/how-to-choose-dog-training-treats/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4792,post,Puppy Socialisation Guide,puppy-socialisation-guide,https://pethubonline.com/puppy-socialisation-guide/,yes,yes,no,pending_index,high,New 10D – submit to GSC
4402,page,How We Research Pet Products,how-we-research-pet-products,https://pethubonline.com/?page_id=4402,yes,yes,no,draft_noindex,medium,Trust page – publish when ready
4403,page,Our Editorial Process,our-editorial-process,https://pethubonline.com/?page_id=4403,yes,yes,no,draft_noindex,medium,Trust page – publish when ready
4405,page,Corrections and Updates Policy,corrections-updates-policy,https://pethubonline.com/?page_id=4405,yes,yes,no,draft_noindex,medium,Trust page – publish when ready
