post_id,title,publish_date,days_since_publish,gates_recheck,blocks_intact,meta_intact,internal_links_intact,indexing_status,gsc_impressions_est,action_needed
4783,How to Choose the Right Dog Bed Size,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4784,Dog Bed Materials Explained,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4785,How to Wash and Maintain Your Dog's Bed,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4786,Where to Place Your Dog's Bed,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4787,Dog Toy Safety: What Every Owner Needs to Know,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4788,Mental Stimulation for Dogs,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4789,Dog Toys for Different Play Styles,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4790,DIY Dog Toys: Safe Homemade Options,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4791,How to Choose Dog Training Treats,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
4792,Puppy Socialisation: A Complete Timeline Guide,2026-05-27,0,12/12,yes,yes,yes,submitted_to_gsc,pending,None – monitor in 7 days
3996,Best Dog Beds UK (2026),2026-05-27,0,12/12,yes,yes,yes,indexed,monitored,Cross-links added – recheck GSC in 14 days
3956,Best Dog Toys UK (2026),2026-05-27,0,12/12,yes,yes,yes,indexed,monitored,Cross-links added – recheck GSC in 14 days
4118,Best Dog Training & Behaviour UK (2026),2026-05-27,0,12/12,yes,yes,yes,indexed,monitored,Cross-links added – recheck GSC in 14 days
