id,title,cluster,practical_guide_added,decision_pathway_added,trust_sources_added,status
5414,Cat Toy Types Explained: A Complete Glossary,Cat Toys,yes,yes,yes,complete
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Cat Toys,yes,yes,yes,complete
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Cat Supplies,yes,yes,yes,complete
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,yes,yes,yes,complete
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,yes,yes,yes,complete
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,yes,yes,yes,complete
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,yes,yes,yes,complete
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,yes,yes,yes,complete
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,yes,yes,yes,complete
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,yes,yes,yes,complete
