position,id,title,cluster,answer_superiority,extraction_superiority,comparison_superiority,trust_superiority,usefulness_superiority,ai_preference_score
TOP,3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,100,92.0,99,83,94,93.6
TOP,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,100,87.0,98,81,91,91.4
TOP,4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,100,97.8,83,83,91,91.0
TOP,4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,100,97.8,76,83,95,90.4
TOP,3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,100,88.0,89,83,91,90.2
TOP,5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,100,87.0,95,83,85,90.0
TOP,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,100,84.0,84,83,94,89.0
TOP,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,100,87.0,84,83,91,89.0
TOP,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,100,88.0,71,83,100,88.4
TOP,3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,100,88.0,75,83,94,88.0
TOP,4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,100,90.8,76,81,91,87.8
TOP,4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,100,93.8,71,83,91,87.8
TOP,3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,100,86.0,83,83,87,87.8
TOP,7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,100,85.0,96,66,91,87.6
TOP,5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,100,87.0,82,80,89,87.6
TOP,4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,100,87.0,86,77,88,87.6
TOP,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,100,88.0,71,83,94,87.2
TOP,4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,100,87.0,81,83,85,87.2
TOP,3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,100,79.0,83,83,90,87.0
TOP,4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,100,78.0,82,83,91,86.8
TOP,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,100,87.0,68,83,95,86.6
TOP,3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,100,82.0,78,83,89,86.4
TOP,7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,100,100,66,75,90,86.2
TOP,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,100,87.0,70,83,91,86.2
TOP,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,100,100,63,70,97,86.0
BOTTOM,7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,100,96,35,72,76,75.8
BOTTOM,7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,99,96,35,70,79,75.8
BOTTOM,7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,96,96,36,73,77,75.6
BOTTOM,6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,100,81.0,46,72,79,75.6
BOTTOM,6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,100,87.8,35,78,77,75.6
BOTTOM,5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,95,81.0,55,76,71,75.6
BOTTOM,5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,100,81.0,49,78,70,75.6
BOTTOM,5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,93,78.0,46,78,83,75.6
BOTTOM,5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,92,78.0,50,81,77,75.6
BOTTOM,4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,99,77.0,44,83,75,75.6
BOTTOM,4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,100,78.0,47,83,69,75.4
BOTTOM,4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,100,78.0,47,83,69,75.4
BOTTOM,4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,100,77.0,45,83,70,75.0
BOTTOM,7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,94,96,35,74,73,74.4
BOTTOM,4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,100,79.0,44,83,66,74.4
BOTTOM,6042,Enrichment by Breed Group: Tailoring Play to Your Dog’s Instincts,Uncategorized,96,81.0,46,75,73,74.2
BOTTOM,5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,100,76.0,47,78,70,74.2
BOTTOM,5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,100,77.0,38,81,74,74.0
BOTTOM,5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,91,78.0,33,83,83,73.6
BOTTOM,8171,Why PetHub Online Exists,Uncategorized,82,85.9,40,78,76,72.4
BOTTOM,4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,91,77.0,38,78,77,72.2
BOTTOM,4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,90,78.0,42,83,68,72.2
BOTTOM,6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,92,84.4,38,74,68,71.3
