post_id,title,total_images,images_with_alt,images_without_alt,meets_4_6_minimum,seo_filenames,placement_score,compliance_score,issues
8172,Our Research Standards,5,5,0,Yes,5/5,100,100,COMPLIANT
8171,Why PetHub Online Exists,4,4,0,Yes,4/4,90,98,COMPLIANT
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,10,10,0,Yes,10/10,90,98,COMPLIANT
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,5,5,0,Yes,5/5,90,98,COMPLIANT
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,5,5,0,Yes,5/5,90,98,COMPLIANT
7343,Indoor Cat Safety: Common Household Hazards for Cats,5,5,0,Yes,5/5,90,98,COMPLIANT
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,5,5,0,Yes,5/5,80,97,COMPLIANT
7341,First Week with a New Puppy: A Day-by-Day Guide,5,5,0,Yes,5/5,90,98,COMPLIANT
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",5,5,0,Yes,5/5,90,98,COMPLIANT
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,4,4,0,Yes,4/4,90,98,COMPLIANT
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,4,4,0,Yes,4/4,90,98,COMPLIANT
7337,Puppy Vaccination Schedule UK: What to Expect and When,5,5,0,Yes,5/5,90,98,COMPLIANT
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,5,5,0,Yes,5/5,80,97,COMPLIANT
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,5,5,0,Yes,5/5,80,97,COMPLIANT
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,0,0,0,No,0/0,0,10,NO_IMAGES
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,5,5,0,Yes,5/5,80,97,COMPLIANT
7332,How to Wash and Dry a Dog Bed Safely,5,5,0,Yes,5/5,80,97,COMPLIANT
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,4,4,0,Yes,4/4,100,100,COMPLIANT
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,4,4,0,Yes,4/4,100,100,COMPLIANT
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",4,4,0,Yes,4/4,100,100,COMPLIANT
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,4,4,0,Yes,4/4,65,94,COMPLIANT
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,4,4,0,Yes,4/4,100,100,COMPLIANT
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,4,4,0,Yes,4/4,100,100,COMPLIANT
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,4,4,0,Yes,4/4,100,100,COMPLIANT
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,4,4,0,Yes,4/4,100,100,COMPLIANT
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,4,4,0,Yes,4/4,90,98,COMPLIANT
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,4,4,0,Yes,4/4,90,98,COMPLIANT
