cluster,current_authority_score,phase10ak_authority_score,authority_delta,velocity_rank,acceleration_status
Educational,100.0,N/A,N/A,11,baseline_established
Dog Food,95.6,91.0,4.6,8,stable
Dog Health,100.0,90.6,9.4,5,accelerating
Cat Toys,99.3,82.4,16.9,3,accelerating
Cat Supplies,100.0,87.6,12.4,4,accelerating
Dog Toys,97.1,91.4,5.7,7,accelerating
Dog Training,96.4,88.4,8.0,6,accelerating
Dog Harnesses,100.0,80.7,19.3,2,accelerating
Uncategorized,100.0,N/A,N/A,12,baseline_established
Dog Grooming,97.5,66.6,30.9,1,accelerating
Dog Beds,80.5,82.4,-1.9,9,stable
Puppy Care,78.5,89.3,-10.8,10,decelerating
Indoor Cats,76.2,N/A,N/A,13,baseline_established
