cluster,faq_coverage,glossary_coverage,trust_coverage,comparison_coverage,citation_coverage,practical_coverage,authority_coverage,overall_semantic_completion_pct
Educational,0.0,82.0,92.0,69.0,86.0,59.0,100.0,69.7
Dog Food,97.5,40.0,92.2,76.7,82.2,71.1,95.6,79.3
Dog Health,94.3,15.6,97.2,87.2,85.0,75.6,100.0,79.3
Cat Toys,97.8,8.7,97.3,89.7,88.7,72.0,99.3,79.1
Cat Supplies,95.2,1.2,100.0,100.0,90.0,66.9,100.0,79.0
Dog Toys,97.7,9.2,97.5,86.4,88.4,70.5,97.1,78.1
Dog Training,90.8,15.5,94.5,86.4,82.3,69.1,96.4,76.4
Dog Harnesses,92.9,8.3,100.0,100.0,86.7,61.7,100.0,78.5
Uncategorized,0.0,6.6,100.0,87.9,84.3,66.6,100.0,63.6
Dog Grooming,96.4,7.5,100.0,87.5,86.9,57.5,97.5,76.2
Dog Beds,94.6,21.8,85.5,54.5,65.5,41.8,80.5,63.5
Puppy Care,92.9,12.3,83.1,44.6,59.2,48.8,78.5,59.9
Indoor Cats,0.0,37.5,75.0,25.0,52.5,30.0,76.2,42.3
