generated_at,2026-05-27 19:28:53 UTC,,,,,,,,,,
source_server,pethubonline.com,,,,,,,,,,
git_commit,e639440 Phase 9H: Sitemap/Taxonomy Recovery + Dog Food Publishing,,,,,,,,,,
generated_by,gen_phase9i.py,,,,,,,,,,
data_source_label,WordPress REST API v2 + Live HTML + post-sitemap.xml,,,,,,,,,,

Post ID,URL,Focus Keyword,SEO Title,Title Chars,Keyword At Start,Meta Description,Desc Chars,Keyword In Desc,First Image Alt,Keyword In Alt,Unsupported Claims,Status,Action Needed
4335,https://pethubonline.com/best-cat-litter-disposal-uk/,best cat litter disposal,Best Cat Litter Disposal UK (2026) – Waste Management Guide,59,Yes,"UK guide to best cat litter disposal. Independent research, no brand bias. Compa...",149,Yes,Catdispose Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4328,https://pethubonline.com/best-self-cleaning-litter-trays-uk/,best self cleaning litter trays,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,61,Yes,"UK guide to best self cleaning litter trays. Independent research, no brand bias...",156,Yes,Catauto Types,No,CLEAN,NEEDS REVIEW,Title too long; Keyword not in alt
4321,https://pethubonline.com/best-cat-litter-uk/,best cat litter,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,57,Yes,"UK guide to best cat litter. Independent research, no brand bias. Compare option...",140,Yes,Catlitter Lit Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4314,https://pethubonline.com/best-cat-litter-trays-uk/,best cat litter trays,Best Cat Litter Trays UK (2026) – Complete Guide,48,Yes,"UK guide to best cat litter trays. Independent research, no brand bias. Compare ...",146,Yes,Catlitter Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4307,https://pethubonline.com/best-wall-mounted-cat-scratchers-uk/,best wall mounted cat scratchers,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,57,Yes,"UK guide to best wall mounted cat scratchers. Independent research, no brand bia...",157,Yes,Catwall Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4300,https://pethubonline.com/best-cardboard-cat-scratchers-uk/,best cardboard cat scratchers,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,57,Yes,"UK guide to best cardboard cat scratchers. Independent research, no brand bias. ...",154,Yes,Catcard Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4293,https://pethubonline.com/best-cat-trees-uk/,best cat trees,Best Cat Trees UK (2026) – Climbing &#038; Scratching Towers,60,Yes,"UK guide to best cat trees. Independent research, no brand bias. Compare options...",139,Yes,Cattree Sizes,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4286,https://pethubonline.com/best-cat-scratching-posts-uk/,best cat scratching posts,Best Cat Scratching Posts UK (2026) – Complete Guide,52,Yes,"UK guide to best cat scratching posts. Independent research, no brand bias. Comp...",150,Yes,Catscratch Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4279,https://pethubonline.com/best-cat-harnesses-uk/,best cat harnesses,Best Cat Harnesses UK (2026) – Safe Walking Guide,49,Yes,"UK guide to best cat harnesses. Independent research, no brand bias. Compare opt...",143,Yes,Catharness Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
4272,https://pethubonline.com/best-cat-id-tags-uk/,best cat id tags,Best Cat ID Tags UK (2026) – Identification Guide,49,Yes,"UK guide to best cat id tags. Independent research, no brand bias. Compare optio...",141,Yes,Cattag Types,No,CLEAN,NEEDS REVIEW,Keyword not in alt
