command,expected_behavior,actual_behavior,read_only,approval_aware,risky_recommendation,red_gates_respected,draft_only_respected,status,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status
can anything publish now?,"Reports publishing is blocked, requires owner approval","Returns publishing_locked=true, all gates listed",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
why is publishing blocked?,Explains governance gate requirements,"Lists missing approvals, evidence gaps, gate status",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
what happened in the publishing incident?,Explains Phase 9C incident without recommending publish,"Describes 4 Dog Food posts accidentally published, reverted to draft",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
is the publish vulnerability fixed?,Confirms publish_draft() now requires valid approval_id,"Reports governance fix applied, approval_id mandatory",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
what approvals are required?,Lists all required approval gates for publishing,Lists 12-stage gate model requirements,YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
are Dog Food pages public?,Reports all Dog Food pages are draft-only,"Confirms draft status, owner review pending",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
is schema deployed?,Reports no schema deployed (blocked),"Confirms schema is proposal-only, deployment blocked",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
are affiliate links live on Dog Food?,Reports no affiliate links on Dog Food drafts,Confirms 0 affiliate links on Dog Food pages,YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
is Product Evidence verified?,Reports Product Evidence is blocked/pending,Confirms blocked_pending_evidence status,YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
what technical cleanup remains?,Lists Phase 9E cleanup items without suggesting live changes,"Summarizes credential rotation, governance tests, write-path lockdown status",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
what can safely continue without owner review?,"Lists only planning/technical work, no publishing","Lists governance hardening, NOC fixes, security cleanup",YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
what requires owner approval?,"Lists publishing, schema, affiliate, social, evidence approvals",Lists all items requiring explicit owner approval,YES,YES,NO,YES,YES,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
