module,file,write_type,can_create_draft,can_update_draft,can_publish,can_update_live_metadata,can_deploy_schema,can_insert_affiliate_links,requires_approval,routed_through_publisher,risk_level,fix_applied,test_result,generated_at,source_server,git_commit_hash,generated_by,data_source_label,approval_status
Content Agent,content-agent/wp_publisher.py,create_post,YES,YES,NO - GOVERNANCE LOCKED (status hardcoded to draft),NO,NO,NO,YES (for publish),YES (via shared/publisher_client.py),GREEN,"Hardcoded status=draft, logs warning if publish attempted",PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Content Agent,content-agent/main.py,auto_publish toggle,YES,YES,NO - GOVERNANCE LOCKED (auto_publish permanently False),NO,NO,NO,YES,YES,GREEN,"auto_publish hardcoded False, settings endpoint locked",PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
SEO Agent,seo-agent/auto_fixer.py,metadata/content fixes,NO,NO,NO,NO - GOVERNANCE GATED (all writes routed to proposal workflow),NO,NO,YES,YES (via publisher_propose_change),GREEN,All 6 direct write functions converted to publisher_propose_change,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Publisher Layer,manager-agent/wp_publisher_layer.py,publish_draft,YES,YES,YES - only with valid approval_id,YES - only with approval,NO (blocked),NO (requires evidence),YES - mandatory approval_id,IS the Publisher,GREEN,approval_id validation mandatory since Phase 9D,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Mission Control,manager-agent/main.py,agent coordination,NO (delegates to agents),NO,NO - uses Publisher layer,NO,NO,NO,YES,YES,GREEN,None needed - already governance-compliant,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Co-Pilot,manager-agent/copilot_routes.py,read-only,NO,NO,NO - read-only,NO,NO,NO,N/A - read-only,N/A,GREEN,None needed - read-only by design,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Manager Agent,manager-agent/main.py,agent orchestration,NO (delegates),NO,NO - uses Publisher layer,NO,NO,NO,YES,YES,GREEN,None needed,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Social Agent,social-agent/main.py,social posting,NO,NO,NO,NO,NO,NO,YES,N/A - all channels RED,GREEN,All channels blocked (tokens expired/not connected),PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
Shared Publisher Client,shared/publisher_client.py,API wrapper,YES (draft only),YES,YES - routes through Manager API,NO (proposal only),NO,NO,YES,YES - IS the client,GREEN,None needed - correctly routes all writes through Manager,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
WordPress REST Wrappers,Various agent utilities,direct WP API calls,Draft only,YES (metadata),NO - all hardcoded to draft or routed through Publisher,NO - governance gated,NO,NO,YES,YES,GREEN,All direct write paths gated,PASS,2026-05-27T17:35:28.583200+00:00,167.99.198.145,f8d21cb,Phase9E Deliverable Generator v1.0,LIVE SERVER DATA,phase_9e_closeout
