cluster,owned_entities,glossary_dominance,faq_dominance,comparison_saturation,practical_saturation,semantic_depth,topic_breadth,semantic_market_share,semantic_status
Dog Food,44,19.0,18.6,13.4,19.4,5874,58,77.4,STRONG
Uncategorized,34,23.5,13.4,2.6,8.0,3840,342,55.0,DEVELOPING
Dog Care,30,25.8,10.0,5.0,16.7,3663,73,46.3,DEVELOPING
Dog Health,38,18.6,10.2,5.9,16.2,3730,63,44.6,DEVELOPING
Dog Toys,30,18.9,12.9,3.1,16.9,3543,101,43.5,DEVELOPING
Dog Beds,27,20.8,10.3,5.1,15.6,3492,102,41.5,DEVELOPING
Dog Supplies,14,20.7,14.4,2.1,25.4,3468,39,41.5,DEVELOPING
Cat Supplies,32,12.6,14.9,2.3,4.5,3033,124,32.7,DEVELOPING
Cat Toys,21,16.6,13.9,2.4,5.0,3093,87,29.0,DEVELOPING
Dog Harnesses,22,9.7,12.9,3.9,12.7,3538,33,28.1,DEVELOPING
Training Supplies,16,14.0,11.0,3.3,16.0,3567,35,27.9,DEVELOPING
Indoor Cats,12,27.3,9.7,3.7,2.0,2376,53,23.6,DEVELOPING
Puppy Care,10,10.5,8.5,4.0,20.0,3678,12,21.6,DEVELOPING
Pet Care,10,14.5,8.5,1.0,2.5,1886,9,4.2,DEVELOPING
