id,title,type,gate_status,recommendation
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,glossary,PASS (after fixes),Ready for publication (fixes applied)
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,glossary,PASS (after fixes),Ready for publication (fixes applied)
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,glossary,PASS (after fixes),Ready for publication (fixes applied)
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,glossary,PASS (after fixes),Ready for publication (fixes applied)
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",glossary,PASS (after fixes),Ready for publication (fixes applied)
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,glossary,PASS (after fixes),Ready for publication (fixes applied)
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,glossary,PASS (after fixes),Ready for publication (fixes applied)
7332,How to Wash and Dry a Dog Bed Safely,educational_spoke,PASS,Ready for publication
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,educational_spoke,PASS,Ready for publication
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,educational_spoke,PASS,Ready for publication
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,educational_spoke,PASS,Ready for publication
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,educational_spoke,PASS,Ready for publication
7337,Puppy Vaccination Schedule UK: What to Expect and When,educational_spoke,PASS,Ready for publication
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,educational_spoke,PASS,Ready for publication
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,educational_spoke,PASS,Ready for publication
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",educational_spoke,PASS,Ready for publication
7341,First Week with a New Puppy: A Day-by-Day Guide,educational_spoke,PASS,Ready for publication
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,educational_spoke,PASS,Ready for publication
7343,Indoor Cat Safety: Common Household Hazards for Cats,educational_spoke,PASS,Ready for publication
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,educational_spoke,PASS,Ready for publication
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,educational_spoke,PASS,Ready for publication
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,educational_spoke,PASS,Ready for publication
7828,How We Evaluate Pet Products and Create Our Guides,editorial_brand,PASS,Ready for publication
7829,Our Editorial Mission,editorial_brand,PASS (after fixes),Ready for publication (fixes applied)
8171,Why PetHub Online Exists,editorial_brand,PASS (after fixes),Ready for publication (fixes applied)
8172,Our Research Standards,editorial_brand,PASS (after fixes),Ready for publication (fixes applied)
