id,title,cluster,had_table,table_added,rows_added,status
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,yes,no,0,skipped_adequate_table
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,yes,no,0,skipped_adequate_table
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,yes,no,0,skipped_adequate_table
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,no,yes,5,table_added
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,yes,no,0,skipped_adequate_table
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,yes,no,0,skipped_adequate_table
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Dog Training,yes,no,0,skipped_adequate_table
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Puppy Care,yes,no,0,skipped_adequate_table
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,yes,no,0,skipped_adequate_table
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Educational,yes,no,0,skipped_adequate_table
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,yes,no,0,skipped_adequate_table
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Dog Training,yes,no,0,skipped_adequate_table
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Educational,no,yes,5,table_added
5419,Cat Care Basics: A Glossary for New Cat Owners,Educational,no,yes,5,table_added
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,yes,no,0,skipped_adequate_table
5416,Dog Bed Types Explained: A Complete Glossary,Educational,no,yes,5,table_added
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Educational,no,yes,5,table_added
5414,Cat Toy Types Explained: A Complete Glossary,Educational,no,yes,5,table_added
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Indoor Cats,yes,no,0,skipped_adequate_table
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,yes,no,0,skipped_adequate_table
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Dog Training,yes,no,0,skipped_adequate_table
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,yes,no,0,skipped_adequate_table
4792,Puppy Socialisation: A Complete Timeline Guide,Dog Training,yes,no,0,skipped_adequate_table
4791,How to Choose the Right Dog Training Treats,Dog Training,yes,no,0,skipped_adequate_table
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Uncategorized,yes,no,0,skipped_adequate_table
4785,How to Wash and Maintain Your Dog's Bed,Uncategorized,yes,no,0,skipped_adequate_table
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Uncategorized,no,yes,5,table_added
4570,First-Time Dog Owner Essentials: What You Need to Know,Uncategorized,yes,no,0,skipped_adequate_table
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Uncategorized,no,yes,5,table_added
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Educational,yes,no,0,skipped_adequate_table
4571,Pet First Aid Basics: What Every Owner Should Know,Uncategorized,yes,no,0,skipped_adequate_table
4568,Dog Dental Health: A Practical Care Guide,Dog Health,yes,no,0,skipped_adequate_table
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,yes,no,0,skipped_adequate_table
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,yes,no,0,skipped_adequate_table
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,yes,no,0,skipped_adequate_table
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,yes,no,0,skipped_adequate_table
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,yes,no,0,skipped_adequate_table
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,yes,no,0,skipped_adequate_table
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Uncategorized,yes,no,0,skipped_adequate_table
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,yes,no,0,skipped_adequate_table
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,yes,no,0,skipped_adequate_table
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Toys,yes,no,0,skipped_adequate_table
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Toys,yes,no,0,skipped_adequate_table
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Uncategorized,yes,no,0,skipped_adequate_table
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,yes(-1rows),yes,6,table_upgraded
4272,Best Cat ID Tags UK (2026) – Identification Guide,Educational,yes,no,0,skipped_adequate_table
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Educational,yes,no,0,skipped_adequate_table
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Uncategorized,yes,no,0,skipped_adequate_table
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Educational,yes,no,0,skipped_adequate_table
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,yes,no,0,skipped_adequate_table
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,yes,no,0,skipped_adequate_table
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,yes,no,0,skipped_adequate_table
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,yes,no,0,skipped_adequate_table
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,yes,no,0,skipped_adequate_table
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Educational,yes,no,0,skipped_adequate_table
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Educational,yes,no,0,skipped_adequate_table
