id,title,cluster,citation_conf,extractability,practical_spec,trust_depth,comparison_use,glossary_use,answer_use,summary_use,overall_ai_readiness
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,100,100,100,100,78,95,64,85,92.2
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,100,100,100,100,79,81,76,75,91.1
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,96,100,100,100,65,69,81,75,88.2
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Dog Food,86,100,100,78,84,93,78,65,87.0
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,98,94,100,100,58,65,79,65,85.4
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Dog Beds,94,100,100,81,54,69,75,85,85.2
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Indoor Cats,92,85,90,92,45,81,83,75,82.2
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Puppy Care,98,85,100,95,31,73,69,75,81.7
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Dog Health,90,85,93,94,51,73,75,75,81.5
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Uncategorized,91,85,100,95,44,69,69,75,81.2
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Dog Food,86,85,90,94,53,89,73,65,80.9
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,100,85,100,78,38,73,71,65,80.2
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,78,100,82,82,64,69,71,75,79.0
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Puppy Care,84,85,100,77,39,77,59,90,78.8
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Health,89,85,100,84,34,69,69,75,78.7
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,88,79,100,99,35,73,69,65,78.6
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Uncategorized,91,73,100,100,45,65,59,75,78.6
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Grooming,89,73,100,95,46,69,59,75,78.2
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Toys,78,97,100,87,57,65,55,65,78.1
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Educational,78,85,91,79,40,77,73,90,77.9
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,87,82,100,99,40,77,47,65,77.5
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Educational,75,85,77,79,52,85,75,90,77.4
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,95,73,100,100,29,65,65,65,77.3
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Dog Training,74,100,77,84,63,65,71,75,77.1
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Uncategorized,87,76,100,100,28,65,61,75,76.7
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,79,85,90,95,53,73,59,65,76.5
